	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	X.log10.pvalue.	X.log10.padj.
IGHM	1163.80304200266	2.5004719153692	0.113936725361532	21.9461451734282	9.42638342962041e-107	1.54847200598375e-102	106.02565489876	106.02565489876
RHEX	4647.09027052163	-2.31696646958256	0.10736295678133	-21.5806879676536	2.72779074009365e-103	2.24047092437592e-99	102.564188949231	102.564188949231
CLEC11A	3467.67808643978	1.62174877947852	0.0753979616497507	21.5091859778928	1.27726029761923e-102	6.99385163633036e-99	101.893720587232	101.893720587232
CD1A	3325.89167355719	1.6543075416094	0.0770160358139109	21.4800401517237	2.3929951927951798e-102	9.82743300801162e-99	101.621058173825	101.621058173825
CCR4	2976.64450897447	-2.11285449017601	0.0987740543124055	-21.3907842994215	1.62798444652445e-101	5.3485801006114405e-98	100.7883497486	100.7883497486
ANXA1	5172.66119959653	-1.75295872699387	0.0830312788575991	-21.1120285163889	6.16682883149999e-99	1.68837495358417e-95	98.2099381058248	98.2099381058248
FAM30A	1318.67220627427	2.17338200451879	0.108401571304025	20.0493588642114	2.04463010171165e-89	4.79816266868819e-86	88.6893852496693	88.6893852496693
PTPN3	1476.61499672208	1.63430829798303	0.0831222311833092	19.6615066116175	4.60836199681689e-86	9.462695315213889e-83	85.3364534134726	85.3364534134726
LYL1	5435.37660634906	-1.60911922199283	0.0821237049170315	-19.5938459378872	1.74497238231954e-85	3.18496236937368e-82	84.7582114422298	84.7582114422298
CD1B	1074.54460212418	2.20823274626597	0.113177573360368	19.5112218852294	8.81497737958325e-85	1.44803633414414e-81	84.0547787978212	84.0547787978212
EPAS1	3571.68467886761	-2.0235076627166	0.105079128832227	-19.2569893298925	1.2334491981462199e-82	1.84198817981345e-79	81.9088787330158	81.9088787330158
IGHV4-59	1588.46611580056	1.61287847465093	0.0840449966260466	19.190654285196	4.43026674306572e-82	6.064665982361709e-79	81.3535701244419	81.3535701244419
CHI3L2	2610.69150691106	-1.44068990427863	0.0765996094686464	-18.8080580863579	6.487089033961919e-79	8.19718550468404e-76	78.1879501414265	78.1879501414265
ASS1	5901.78376591395	-1.5370379185254	0.0818951192275286	-18.7683702401734	1.3702499088071198e-78	1.60779251799818e-75	77.8632002181589	77.8632002181589
