	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	X.log10.pvalue.	X.log10.padj.
LRRN3	1100.35681347469	1.84355864822882	0.121240350111177	15.2058175890971	3.23565689815879e-52	5.13887028565579e-48	51.4900375362366	51.4900375362366
CD28	813.445222767888	1.99096584129648	0.133882841246083	14.8709559997833	5.08815442038327e-50	4.04050342522635e-46	49.2934397167577	49.2934397167577
MMP9	1317.67357180346	1.77802605053927	0.124912745910036	14.2341443027746	5.624720171962141e-46	2.97772685903676e-42	45.2498990786914	45.2498990786914
GATA3	6420.88442519182	-1.23710919900774	0.0914094793697827	-13.5337079648294	9.890615440240939e-42	3.92706886054767e-38	41.004776683733	41.004776683733
KCNMA1	329.169347868902	-2.59338515573016	0.193991002543574	-13.3685847370557	9.22799510985154e-41	2.93118036669324e-37	40.0348926442945	40.0348926442945
APOL4	2297.08808201686	-1.5714779315843	0.119612408305744	-13.1380845335662	1.992056682623e-39	5.27297403890307e-36	38.7006983081813	38.7006983081813
B4GALT3	1503.7385096454	-1.21042339551114	0.108253624372577	-11.1813660053101	5.0309571970602897e-29	1.14145231719588e-25	28.2983493775976	28.2983493775976
BACE2	357.118274400463	-1.70227505342225	0.156331031658176	-10.8889133230077	1.30184336256659e-27	2.58448453553533e-24	26.8854412668164	26.8854412668164
MAB21L4	274.542372722432	2.34826734714653	0.218820238152091	10.7314906837564	7.241839293828979e-27	1.27794324071769e-23	26.1401511169918	26.1401511169918
ITGB8	354.904071902185	-1.81066684104145	0.173142294631303	-10.4576807469092	1.35122592698421e-25	2.14601701723632e-22	24.8692720302235	24.8692720302235
SUSD4	4074.47414295268	-0.988743214794048	0.0948500717203957	-10.4242748251021	1.9211925072986302e-25	2.77385267281062e-22	24.7164291157897	24.7164291157897
EPB41L3	766.653536337757	-1.31289338608501	0.130911454217458	-10.0288656476472	1.13816632757377e-23	1.50636313454389e-20	22.9437942670542	22.9437942670542
MDFIC	5595.31224422888	-0.880886556694873	0.0894072523706517	-9.85251792598458	6.68479209348533e-23	8.16675907913338e-20	22.1749120953663	22.1749120953663
SPIB	1053.81998867477	-1.26177634124834	0.129594171327139	-9.73636644554944	2.1096303864686898e-22	2.3932249855639903e-19	21.6757936277251	21.6757936277251
PTAFR	1085.67701964431	-1.13732962974486	0.120521298184545	-9.43675223281578	3.84512867976944e-21	4.07122224613988e-18	20.4150891216678	20.4150891216678
CCR4	3597.29034675657	-0.902410111981886	0.0969873448053139	-9.30441093931714	1.34737111604874e-20	1.33743425406788e-17	19.8705127669693	19.8705127669693
SORBS1	1199.55888363546	1.02304783967403	0.111681537683041	9.16040252398295	5.17040930030744e-20	4.83037885338134e-17	19.2864750758946	19.2864750758946
ASCL4	1010.66081577677	-1.1663108172382	0.127680492362488	-9.13460463425386	6.564620208409881e-20	5.792183230553651e-17	19.1827903946565	19.1827903946565
ID1	486.997094671105	1.35224591345874	0.148293558796468	9.1187097027909	7.602402625527931e-20	6.3548083420334e-17	19.1190491337576	19.1190491337576
SERPINE1	487.488367523906	-1.54680267009147	0.170695970934272	-9.06174095161908	1.28384801611458e-19	1.01950370959659e-16	18.8914863856671	18.8914863856671
FCRL3	565.006124415479	-1.28769863024251	0.143258956595748	-8.98860818787175	2.50380926734154e-19	1.89359518018659e-16	18.6013987574488	18.6013987574488
C1QTNF1	835.56696791149	-1.07392782473389	0.121453880631675	-8.84226851499891	9.37944807945434e-19	6.771108836267901e-16	18.0278227163224	18.0278227163224
SAT1	2016.73084125492	-1.0009976534745	0.11377252095395	-8.79823743977387	1.38981731985136e-18	9.59699072777362e-16	17.8570422804613	17.8570422804613
TNFRSF9	2555.05145288046	-0.976849583606233	0.111208101082931	-8.78397863189634	1.57791680956278e-18	1.04418644872817e-15	17.8019158972611	17.8019158972611
LGALS9C	383.387480093098	1.53201898931541	0.174532438181764	8.77784671592056	1.6663416662735298e-18	1.0585935337502501e-15	17.7782359461682	17.7782359461682
IL1RL1	67.5976954264464	-3.20242317695054	0.367099822236037	-8.72357594031046	2.69551172740103e-18	1.64654297133012e-15	17.5693587743401	17.5693587743401
RASGRP3	755.525105603736	-1.10544796979139	0.126988854129166	-8.70507870452152	3.1735445453145597e-18	1.86674942476614e-15	17.4984554013524	17.4984554013524
ANXA3	1659.85282470206	-0.909614417504797	0.105014801239745	-8.66177345256488	4.64480745791557e-18	2.61531961143754e-15	17.3330322841887	17.3330322841887
TULP3	1403.63254422698	0.933914088591859	0.107859576736011	8.65861073122542	4.7754860050175394e-18	2.61531961143754e-15	17.3209824233354	17.3209824233354
PNPLA8	1641.52389112756	-0.896253339715707	0.104633190158278	-8.5656696346537	1.0744954910786301e-17	5.688379129770241e-15	16.9687954026051	16.9687954026051
DDX4	779.354875041882	-1.04502687331681	0.122776448015646	-8.51162328123093	1.71515041659946e-17	8.787102876268581e-15	16.7656977868547	16.7656977868547
SUCNR1	354.411191132125	1.38984426041327	0.164762456199494	8.4354427123279	3.29951416436824e-17	1.63759012370301e-14	16.4815500029304	16.4815500029304
FGD5	843.336164678253	1.11531778564407	0.133934533621337	8.32733541893927	8.26822327164721e-17	3.97927036364549e-14	16.0825878043796	16.0825878043796
POU2AF1	3134.39456292326	0.813804698226768	0.0978915257460772	8.31333143522262	9.305216153551631e-17	4.34663067502079e-14	16.0312735340642	16.0312735340642
APOBEC3G	5531.23886092792	0.767537736202111	0.0935217512903179	8.20705050549638	2.26688228822236e-16	1.02864641432993e-13	15.644571030779	15.644571030779
GPA33	357.818174215714	1.38387841585412	0.169683538177273	8.15564332709954	3.4732605738104597e-16	1.53228678981271e-13	15.4592626334693	15.4592626334693
RGS1	5152.3989850888	-0.84256362874384	0.104911688073237	-8.03117025584087	9.65472600229173e-16	4.14422590184857e-13	15.0152600468334	15.0152600468334
MGAT4B	2935.03783009724	0.911046947464965	0.11377915595436	8.00715157203672	1.1739576647853102e-15	4.90652516634744e-13	14.9303475643164	14.9303475643164
FGF17	1560.00722407193	0.826960118354517	0.106213294670171	7.78584376769889	6.924948002604621e-15	2.82005190198376e-12	14.1595834832406	14.1595834832406
SRPK2	10793.4395761399	0.654989020176526	0.0874644506718902	7.48863126841806	6.95955593164857e-14	2.7632916826610597e-11	13.1574184705313	13.1574184705313
TNFRSF8	8063.35434223412	-0.73676259306878	0.0986197248224701	-7.47074273828142	7.97434224187862e-14	3.0889878898906397e-11	13.0983051292744	13.0983051292744
ADA	8561.58266414101	0.760707567530117	0.103152546262347	7.37458836542353	1.6485360621396e-13	6.23382136640504e-11	12.7829015481163	12.7829015481163
HNRNPA1P21	1570.20393571583	-0.764762847281364	0.104607554726853	-7.31078027087319	2.6559554410328e-13	9.80974053825186e-11	12.5757792154019	12.5757792154019
LINC01307	139.363693825587	1.88589138855793	0.258595859202899	7.29281356001229	3.03548024600823e-13	1.09567039243415e-10	12.5177725890396	12.5177725890396
LHX2	337.720793907721	-1.14520857580677	0.157186733689738	-7.2856566767729	3.20107215712996e-13	1.1297650666564001e-10	12.4947045360745	12.4947045360745
SHANK1	395.097114764414	-1.73276803520035	0.243673404132801	-7.11102650437796	1.15183015186489e-12	3.97681879824307e-10	11.9386115569772	11.9386115569772
LINC02446	327.842506796109	1.35274059133389	0.190769182423772	7.09098070320883	1.3316491443324e-12	4.49984078942279e-10	11.8756101856402	11.8756101856402
PDE7B	407.916504930808	-1.15278722099626	0.163478806155252	-7.05160043743822	1.7687148766898299e-12	5.85223534824748e-10	11.7523421713076	11.7523421713076
RABL6	16862.622476027	0.753163126977765	0.107264770138167	7.02153303463591	2.19446914733399e-12	7.11276714244051e-10	11.6586705206458	11.6586705206458
OSM	921.650432750984	-0.879261152519586	0.125693203437689	-6.99529591475065	2.64699638789075e-12	8.40791932649618e-10	11.5772466513394	11.5772466513394
