	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	X.log10.pvalue.	X.log10.padj.
PKP1	2309.16110279847	4.32518965060811	0.111349079560302	38.8435150760791	0.0	0.0	inf	inf
DTX1	32797.0975723853	2.97651545499635	0.0576597520221429	51.6220647957919	0.0	0.0	inf	inf
ALDH1A2	22317.5626378648	-5.84450971156247	0.0748026025932172	-78.1324380295349	0.0	0.0	inf	inf
CD7	13866.7392177094	4.37934722645757	0.0860548040149316	50.890212075757	0.0	0.0	inf	inf
NKAIN4	3101.24358266518	-3.62360886018726	0.0898806437605027	-40.3157866764148	0.0	0.0	inf	inf
NOTCH3	11131.7562050561	2.84894071655431	0.0813352028516949	35.0271544997436	8.68750231722267e-269	2.72946843636608e-265	268.061105066562	268.061105066562
SFRP5	4023.00752471812	-2.82632157679314	0.0827857234674097	-34.1402050790289	1.86875809237361e-255	5.03256554276212e-252	254.728446913681	254.728446913681
HES4	2569.98909314329	3.29045275533624	0.0970869462267638	33.8918143295063	8.79400810409065e-252	2.07219808462766e-248	251.055813138493	251.055813138493
ENSG00000272449	1316.9636748961	4.42607244632981	0.138629760521985	31.9272891308781	1.11666776166776e-223	2.33892266391099e-220	222.952076021815	222.952076021815
CEBPE	1229.33943227936	-4.24234860212406	0.138090614286646	-30.7214840345185	2.94030493755476e-207	5.5427688377844796e-204	206.531607626789	206.531607626789
CD82	9013.65824655896	2.10996497620602	0.0701793900918894	30.0653079692391	1.37741729949853e-198	2.3605175920769897e-195	197.86093446685	197.86093446685
GBP1	2900.27626632944	2.58540504358849	0.0865829284362205	29.8604481308688	6.424073337182091e-196	1.00916838732683e-192	195.192189509798	195.192189509798
PPM1H	2934.45755751326	-2.47033182204947	0.0850101849445099	-29.0592453558591	1.1759344456350199e-185	1.7051954026666e-182	184.929616888032	184.929616888032
MYO7B	2286.45961719909	2.61924069144562	0.0924016510905704	28.3462542122574	9.30889680622381e-177	1.2534429549580401e-173	176.031101784041	176.031101784041
SH3TC1	7447.75889492977	1.79756700056974	0.0656916748348275	27.3636957055741	7.42074463143624e-165	9.325897136480301e-162	164.129552513441	164.129552513441
ID1	2400.72572866395	2.98010131344965	0.109700672127637	27.1657525487382	1.64976089707201e-162	1.94372766691903e-159	161.782578994336	161.782578994336
APLN	1668.30584010141	-2.9921258512765	0.1116117587954	-26.8083388665301	2.5832216957823398e-158	2.8644889521878203e-155	157.587838320453	157.587838320453
NKX3-1	4981.56662633537	-2.36568628248122	0.0891538980012648	-26.5348609036439	3.8404972560984604e-155	4.0220674319284505e-152	154.415612540841	154.415612540841
IGFBP4	7025.74172845582	1.85216755561301	0.0700086923931869	26.4562512496413	3.0918875547272305e-154	3.0676406470612106e-151	153.509776308819	153.509776308819
EPHX2	2159.4277605882	-2.44671189764312	0.093569625670936	-26.1485699028836	1.02313034590694e-150	9.64351507534585e-148	149.990069034028	149.990069034028
SERINC5	14254.0066990257	-1.94025395077231	0.0742822855539613	-26.1200087787127	2.1605898442996001e-150	1.9394894835662698e-147	149.665427669611	149.665427669611
ADAM33	1743.1802904965	-2.5875584745066	0.103306247404002	-25.0474539491052	1.86100560552818e-138	1.59462803044598e-135	137.73025231873	137.73025231873
BAHCC1	25699.3961477519	-1.69337949044686	0.0679267813488406	-24.9294822575274	3.56502048930521e-137	2.9219217932127197e-134	136.447937969777	136.447937969777
PDGFRB	2264.62143412938	2.37018738907496	0.0950836471692711	24.9273924553554	3.75597861634094e-137	2.9501647040268e-134	136.425276888938	136.425276888938
APOL3	1055.20586432323	3.09080702316791	0.124811396346463	24.7638205616109	2.2007186981834798e-135	1.65942992717827e-132	134.657435466594	134.657435466594
CDKN1A	1646.55529805321	2.42657673009475	0.100600483446528	24.1209251383424	1.50801563102243e-128	1.09336933309246e-125	127.821594156854	127.821594156854
CDH24	1685.41459285245	-2.51713998684768	0.105098910169515	-23.9502006518219	9.19580424522862e-127	6.42037428988166e-124	126.036410282305	126.036410282305
PLAAT4	1599.58449888243	2.43162230203756	0.101557044217164	23.943413485311	1.0821779604449599e-126	7.28576311869571e-124	125.965701315122	125.965701315122
ZNF521	4174.47373583745	-1.90577255918777	0.0806530986295777	-23.629254071695	1.92915580572494e-123	1.2540177963351999e-120	122.714632695718	122.714632695718
SEMA7A	5867.73632797666	1.6703904820024	0.0719415857211735	23.218705360157	2.9473038478507e-119	1.85198749452779e-116	118.530575088907	118.530575088907
MEX3A	2746.65528811958	-1.92236333813003	0.0830572711059461	-23.1450336922087	1.6312049487562e-118	9.919304673871969e-116	117.787491469664	117.787491469664
SLC7A8	575.08790446001	-5.31386464925485	0.239085210538241	-22.2258191432753	1.9332386446936901e-109	1.13885880284752e-106	108.713714532067	108.713714532067
ZNF423	773.957065823479	-3.18724178478131	0.144116192346408	-22.1157784763022	2.22831206894474e-108	1.27290638823264e-105	107.652023987497	107.652023987497
TSPAN7	9269.98656066791	-1.46969547985139	0.0664827797258524	-22.1064083949529	2.74244314009865e-108	1.52052340099999e-105	107.561862368018	107.561862368018
RASAL1	3857.85494077144	1.67161729146121	0.0758620108307737	22.0349720915006	1.33127371594348e-107	7.17024023407159e-105	106.87573264242	106.87573264242
CBFA2T3	6941.36707268997	-1.55415206459042	0.0705481239301544	-22.0296724846871	1.49651394587281e-107	7.83632899823564e-105	106.824919231655	106.824919231655
TP73	11600.5795758559	1.34727727773676	0.061769738447102	21.8112835120798	1.81317721049673e-105	9.23789286353347e-103	104.741559748149	104.741559748149
CXCR6	524.640484952048	4.73388377065412	0.219096014244346	21.6064349092845	1.56257730965389e-103	7.75161706954879e-101	102.806158486416	102.806158486416
IGLL1	1125.20030948367	-2.7919847379965	0.129368699200854	-21.5816094251806	2.67396770456483e-103	1.29248628714748e-100	102.57284384233	102.57284384233
CCND3	60451.4950333905	1.28552113539071	0.0600051693049855	21.4235065125282	8.06808912679321e-102	3.8022887032294695e-99	101.093229312856	101.093229312856
TBCD	21936.9981195818	1.35932773943437	0.0635573911524114	21.3874061661009	1.7502439588264e-101	8.04728021166745e-99	100.756901412692	100.756901412692
ENSG00000277196	520.275759277949	4.11674900594184	0.193812337148916	21.240902754187	4.00126300019142e-100	1.79590020991925e-97	99.3978029018132	99.3978029018132
ABI3	2103.02025056234	1.99673889427241	0.0953734529529009	20.936002969909	2.51711547539946e-97	1.10349171690128e-94	96.5990968602647	96.5990968602647
MT2A	4240.38878336843	1.99808262633345	0.0961881536237991	20.7726476812118	7.65217881061283e-96	3.2784368808832403e-93	95.116214890245	95.116214890245
REG4	497.422027109167	4.49061631169256	0.216250821759805	20.7657768657194	8.828818015468849e-96	3.69848996465785e-93	95.054097435009	95.054097435009
AEBP1	16110.1878966125	-1.55235703559283	0.0751131501183636	-20.6669142905951	6.87751606198297e-95	2.8184359844443697e-92	94.1625683866711	94.1625683866711
PSMB9	3976.32377749939	1.57949879886077	0.0768543959365427	20.5518341483672	7.41096064009656e-94	2.9724259367332e-91	93.1301254932822	93.1301254932822
DUSP8	569.211703656589	-3.69578647258437	0.183425676210752	-20.1486866448185	2.76348593535362e-90	1.08530152848648e-87	89.5585427414002	89.5585427414002
IFIT3	1526.49648893745	2.02246996194123	0.100477593058876	20.1285669806615	4.14817924686687e-90	1.59586381597321e-87	89.3821424855898	89.3821424855898
IRF1	4624.2685705127	1.50264887310796	0.0747085852984878	20.1134697853579	5.62480963325535e-90	2.12066572792993e-87	89.2498921712834	89.2498921712834
LTB	700.096380033843	3.32045659582103	0.165337988397358	20.0828413845277	1.0425742176829e-89	3.85364050540005e-87	88.9818930191524	88.9818930191524
CALR	92860.2017696489	-1.12154292423405	0.0566517493855722	-19.7971454791417	3.15047739542276e-87	1.14210864194451e-84	86.5016236320871	86.5016236320871
DAAM2	763.587361361602	-2.80615214933919	0.144369156934106	-19.4373383410419	3.73023096020358e-84	1.32676573265656e-81	83.4282642776721	83.4282642776721
PLEKHM1	7496.91393502436	-1.28039973537734	0.0660283072646978	-19.3916789392223	9.07265101606193e-84	3.16719526488488e-81	83.0422657941501	83.0422657941501
PLAU	544.038561916087	3.36703110411079	0.175194648959885	19.218801054145	2.5765492087937398e-82	8.8310052972674e-80	81.5889615586547	81.5889615586547
IRF2BP2	13857.6992236868	-1.1749261899083	0.0611872713069081	-19.2021341173233	3.5519387973491e-82	1.19567139765764e-79	81.4495345260586	81.4495345260586
ZNF385A	3482.8783023513	1.57206983909224	0.0825832827242705	19.036175206804	8.55517206135989e-81	2.82936050050343e-78	80.0677712515177	80.0677712515177
ITGA4	17289.8013640725	-1.54339091921958	0.0814228567840393	-18.9552538461426	3.99621110230086e-80	1.2988375084392e-77	79.3983515779679	79.3983515779679
APOL1	817.497289096176	2.5058427240812	0.132359354798366	18.9321164937571	6.20197673021125e-80	1.98158412442733e-77	79.2074698675666	79.2074698675666
EPSTI1	3231.9042105597	-1.51271252686977	0.0802300437418952	-18.8546890456181	2.68915338999353e-79	8.448871759128009e-77	78.5703844248024	78.5703844248024
PSAP	88197.9917299464	1.06203006453044	0.0570038255141232	18.6308559987314	1.8061248327534197e-77	5.58151790528437e-75	76.7432522361364	76.7432522361364
SH3BP4	1254.00367604351	-2.00639102025542	0.108140238266027	-18.5536027331442	7.626472734642779e-77	2.31881673420566e-74	76.1176762780443	76.1176762780443
ENSG00000279141	378.221195643629	5.37915737244157	0.291694824612853	18.4410449502523	6.154036202080011e-76	1.84142438802239e-73	75.2108399532759	75.2108399532759
SLC40A1	5159.64075443468	-1.55660316360144	0.0846060353513363	-18.3982520530299	1.35671035849378e-75	3.99614796374472e-73	74.8675128591452	74.8675128591452
ABCB10	10395.7450231869	-1.30696468189268	0.0712725243091571	-18.3375668893596	4.14957980972861e-75	1.20344198451068e-72	74.3819958781205	74.3819958781205
CHST3	491.407596000191	6.77876249959756	0.372014995993911	18.2217452860651	3.46911599817769e-74	9.908531163886009e-72	73.4597811782421	73.4597811782421
CEL	629.26065102547	3.21700792752981	0.177319169353459	18.142471224401	1.4725834503863502e-73	4.14323442137808e-71	72.8319200846459	72.8319200846459
ITGA6	3698.70360065019	-1.5034318422773	0.0832619342511185	-18.0566528486228	6.993675766573e-73	1.93879090993629e-70	72.1552945058632	72.1552945058632
FDXR	4223.02896974033	1.43950651253053	0.0798749486106246	18.0220023620654	1.30918115251303e-72	3.5767208559453695e-70	71.8830002555933	71.8830002555933
LIMS2	5546.15498844363	1.33454285201339	0.0741340626417835	18.0017498631083	1.88759765681843e-72	5.08330048981204e-70	71.724090570443	71.724090570443
PTPRS	4199.93706247789	-1.3971806322749	0.0776834927718989	-17.9855537183095	2.52850281930403e-72	6.71335304883104e-70	71.5971365577888	71.5971365577888
CCR7	3580.3696850977	1.36078836239111	0.0759320661317747	17.9211291317894	8.06739375378879e-72	2.11220055073156e-69	71.0932667454713	71.0932667454713
HLA-B	7188.77190742896	1.39819919339617	0.0783590240753066	17.8434993275623	3.24709371657908e-71	8.385063513867429e-69	70.4885051767248	70.4885051767248
PMEPA1	46794.406343709	1.02003008405876	0.0572753674825741	17.8092281008777	5.99306097888964e-71	1.52067797326304e-68	70.2223513033713	70.2223513033713
STAT5A	15268.5911776618	-1.08857179763237	0.0611258508707633	-17.8086976643303	6.05012190306763e-71	1.52067797326304e-68	70.2182358747201	70.2182358747201
NEXN	1330.9721716812	1.95132863156977	0.110069976937735	17.7280734116408	2.5461065599245298e-70	6.31534931067596e-68	69.5941234241628	69.5941234241628
GPR153	2010.04078387085	-1.66656940004299	0.0940446620977637	-17.7210419269785	2.88518646625509e-70	7.06346104874997e-68	69.5398261136525	69.5398261136525
SPTBN2	6038.49369361312	-1.34857247752828	0.0774817829172512	-17.4050264043166	7.55711599331045e-68	1.8263999178191701e-65	67.1216439117946	67.1216439117946
IRX3	13723.3315601591	-1.11101038894414	0.0639541568500342	-17.3719808635636	1.3450149188069601e-67	3.20947800435823e-65	66.8712728984723	66.8712728984723
MYC	18974.1615419424	-1.01939730247317	0.0588564794488779	-17.3200523038183	3.3205581196254805e-67	7.8244801391325e-65	66.4787889139158	66.4787889139158
IFI35	1478.64098589637	1.76541501630423	0.102191898358332	17.2754890031877	7.19609083064335e-67	1.67473466973405e-64	66.1429033635313	66.1429033635313
GNG4	971.941903264862	-2.08782766076832	0.12092368254399	-17.2656639034195	8.531696391927621e-67	1.9613537644418002e-64	66.0689646077065	66.0689646077065
GATA3	3451.75861394821	-1.32485229862748	0.0769787680427324	-17.210619659333	2.2105373609804e-66	5.02058310745079e-64	65.6555021405498	65.6555021405498
HID1	843.474004432318	-2.36670501963178	0.139098567753029	-17.014589422904	6.40204171443611e-65	1.4367248614147001e-62	64.1936815004058	64.1936815004058
TNFRSF8	860.682233688328	-2.32552354875108	0.137131118132694	-16.9583941297759	1.66842228903627e-64	3.7001680671320797e-62	63.7776940168957	63.7776940168957
ENDOD1	4528.39204345716	-1.55399621323181	0.0917741050987324	-16.9328397325148	2.57644661611979e-64	5.64751106517141e-62	63.5889788516756	63.5889788516756
ITM2A	31501.197225923	-1.01132249599086	0.0603700183456871	-16.7520654076977	5.46939521436692e-63	1.18509849639116e-60	62.2620606937003	62.2620606937003
ABCC1	5696.81779566896	-1.39060263135421	0.0833865889477926	-16.6765741218273	1.94032065464423e-62	4.15647552962482e-60	61.7121264932475	61.7121264932475
STAT5B	20618.4697053033	-0.994946780584943	0.0598746088675014	-16.6171737804032	5.234263796366389e-62	1.10866412163262e-59	61.2811443935763	61.2811443935763
NFE2	316.148041181763	-4.3171360152641	0.260266051182378	-16.5873958422603	8.5967896275032e-62	1.79669556106298e-59	61.0656637007751	61.0656637007751
DOCK9	2203.43217437785	-1.58595995415941	0.0956154192845629	-16.5868639810009	8.67324258960964e-62	1.79669556106298e-59	61.0618185062725	61.0618185062725
MAGEB1	925.391814207093	2.08202557099537	0.126305040751869	16.4841051362754	4.77309401573757e-61	9.780173401159661e-59	60.3212000112416	60.3212000112416
AK4	845.63907677907	-2.2128245533429	0.134391678662414	-16.4654878588237	6.49369990236806e-61	1.3162659877369902e-58	60.1875077855833	60.1875077855833
RABL6	13140.5353296249	1.21087877402565	0.0735931820502903	16.4536814456288	7.89218646941136e-61	1.5827192248390801e-58	60.1028026621832	60.1028026621832
DOCK8	1098.34320513776	2.04735124093617	0.125220666908313	16.3499467898158	4.35360004933759e-60	8.638917318953999e-58	59.3611514706426	59.3611514706426
MAL	2501.15053307583	-1.48635147494763	0.0911826264362206	-16.3008188406076	9.73787390316181e-60	1.91217355154691e-57	59.0115358534824	59.0115358534824
ATP2A3	58722.2770743062	0.930892430472567	0.0571923426605466	16.2765221211113	1.44871878444907e-59	2.81544307274736e-57	58.8390159086729	58.8390159086729
UBA7	758.78061604689	2.44725455877985	0.150406361878559	16.2709510968413	1.5867386480541401e-59	3.0522051280069996e-57	58.7994946000599	58.7994946000599
SDK2	327.606907869212	-3.8757719125919	0.241644308404664	-16.0391607738653	6.806795613841411e-58	1.29611014259116e-55	57.1670572896648	57.1670572896648
ADA	82088.7440971542	0.961920481102804	0.0600266388642682	16.0248932691016	8.563779592187771e-58	1.6143580909233198e-55	57.067334518763	57.067334518763
TNFRSF14	1216.56372097027	2.11659786028385	0.132117976268756	16.0205137866951	9.18878779457524e-58	1.7150281060944298e-55	57.0367417779339	57.0367417779339
