	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	X.log10.pvalue.	X.log10.padj.
IL17F	145492.483679239	-1.94792707653607	0.0842453925481566	-23.1220606565824	2.77806922222999e-118	4.46130136397913e-114	117.556256936979	117.556256936979
GZMB	29372.1920521795	2.39733091288097	0.105592228789927	22.7036680668083	4.12134759968584e-114	3.30923605516774e-110	113.384960754983	113.384960754983
AQP3	15641.1385019747	1.23818044396356	0.0790099206459762	15.6712022216999	2.3803396991625e-55	1.27419584096168e-51	54.6233610601938	54.6233610601938
ATP12A	1475.22245415758	-2.39332326476964	0.154082276961874	-15.5327615346821	2.08216680710551e-54	8.35937918882685e-51	53.6814844811158	53.6814844811158
KDM3A	9258.38549819392	1.2886287189283	0.0836261669286414	15.4093959612891	1.4152853945604001e-53	4.5456136302491e-50	52.8491559751326	52.8491559751326
FCER2	13467.061869901	1.37370952489581	0.0914581939104965	15.0200814837888	5.42409973671061e-51	1.4517602945306e-47	50.2656723333916	50.2656723333916
TULP3	863.319616954607	2.08072918854559	0.143129813134396	14.5373569837043	7.02531656562963e-48	1.61170798182066e-44	47.1533341013718	47.1533341013718
IGHM	3355.06851630299	1.37164907462236	0.0953621347909945	14.3835818863389	6.56091570920978e-47	1.3170218171774998e-43	46.1830355417672	46.1830355417672
FGFR2	2690.61470732331	-1.47551205152368	0.10358643852428	-14.2442589256298	4.86683364094275e-46	8.68405349332217e-43	45.3127534986415	45.3127534986415
TEX19	736.968684900337	2.1819881228032	0.153275669828658	14.2357108942493	5.500075894463461e-46	8.83257187891887e-43	45.2596313177204	45.2596313177204
EHD3	7033.2328958675	1.75884234376316	0.124315496125533	14.1482148129554	1.91558562292871e-45	2.7965808653283798e-42	44.7176984311336	44.7176984311336
COX7C	9674.94537528447	1.19267321574839	0.0860429841786276	13.8613650739073	1.08589306103719e-43	1.45319638893302e-40	42.9642129420476	42.9642129420476
ONECUT2	732.624450986623	-2.08506043231848	0.151425650808564	-13.7695325804111	3.8871998929008595e-43	4.80188792923806e-40	42.4103631259106	42.4103631259106
CHRM4	2221.53975926634	1.60928330665827	0.117376303835756	13.710461601433	8.789685895504709e-43	1.00823975568507e-39	42.0560266444127	42.0560266444127
S100A4	10252.5811631317	1.16217688147962	0.086279017987758	13.4699827209962	2.34920976828535e-41	2.51506397792629e-38	40.6290782019787	40.6290782019787
TMPRSS3	3723.29102362046	1.57215871979074	0.118192754964088	13.3016505137597	2.2641443896060397e-40	2.27249342204272e-37	39.6450958806597	39.6450958806597
TNFRSF9	1467.96954984795	1.73548583589074	0.130768105981802	13.2714764266162	3.38838312310859e-40	3.20082615141181e-37	39.4700074900636	39.4700074900636
LY86-AS1	5026.68834482828	1.11246312697227	0.086336921004013	12.8851378302055	5.45779124409643e-38	4.86925942160803e-35	37.2629830797454	37.2629830797454
MYBPC2	3931.63745855904	1.61161850464311	0.126296838146132	12.760560979194	2.72233466381112e-37	2.30094591400751e-34	36.5650584868798	36.5650584868798
LAIR1	9067.1009173776	1.43458686926543	0.112606953985638	12.739771554858	3.55434043421751e-37	2.85395765165495e-34	36.4492409778753	36.4492409778753
BMP2	1277.79770387569	-1.70251043328957	0.135027397134792	-12.6086295775222	1.89255240672756e-36	1.44726186188752e-33	35.7229520855994	35.7229520855994
GBE1	5942.98217300629	1.25535269130942	0.100299673830204	12.5160196775374	6.101920101692379e-36	4.4541243142308196e-33	35.2145334832917	35.2145334832917
PECAM1	2909.21478328214	1.32100767996253	0.108747041225169	12.147527556426	5.91267080716416e-34	4.12832958661953e-31	33.2282163000322	33.2282163000322
RUBCNL	2828.47407220805	1.32822172326844	0.109664891803892	12.1116403018355	9.16429402833651e-34	6.132058241710671e-31	33.0379009853015	33.0379009853015
LINC00887	270.726290471917	2.92617295540571	0.242076674432398	12.0877939283773	1.22532841660426e-33	7.87101961689914e-31	32.9117474946437	32.9117474946437
CLEC4F	10338.1777127381	1.11253270408518	0.0939089775138801	11.846925965313	2.23230212108887e-32	1.37878999086793e-29	31.6512470280846	31.6512470280846
GADD45A	7927.37126052521	1.21351461436261	0.102908288462646	11.7921950942085	4.28231924521049e-32	2.54702832440131e-29	31.3683209593524	31.3683209593524
CHAC1	890.842989742878	-1.58017891810889	0.134212135497235	-11.7737409680173	5.33070501424408e-32	3.05734970799092e-29	31.2732153494072	31.2732153494072
RTKN	971.273601555949	-1.65698743594934	0.141938910438793	-11.6739478330987	1.7319536427836801e-31	9.590842603263129e-29	30.7614637364253	30.7614637364253
TXNIP	4838.54442814089	1.36505112442673	0.12152697713558	11.2324946822616	2.82390989983729e-29	1.5116389693829002e-26	28.5491491640748	28.5491491640748
TRIM29	724.299845647632	1.62027988319919	0.144926611016489	11.1800025670569	5.10885089362034e-29	2.64654956453707e-26	28.2916767724054	28.2916767724054
OVAAL	1049.94786426062	-1.41158982900743	0.126983679065252	-11.1163091146703	1.04506477941111e-28	5.24459227892594e-26	27.9808567885301	27.9808567885301
FERMT3	2588.51146179144	-1.17579604344865	0.105856998009351	-11.1074002244498	1.15472523431924e-28	5.61931289028265e-26	27.9375213434039	27.9375213434039
CXCL10	6680.09614382309	1.30283223820111	0.1173752191669	11.0997214526907	1.2583544850549899e-28	5.94350431632295e-26	27.900196998623	27.900196998623
PDE1B	1472.16712934408	1.41885032405084	0.129907175343088	10.9220319840196	9.04492505304429e-28	4.15007004076681e-25	27.0435950273873	27.0435950273873
ADAM12	6418.54378760148	1.08465699061525	0.0995404756428011	10.8966426331688	1.19588856289609e-27	5.33465956431898e-25	26.92230928755	26.92230928755
IDH2	15059.1564876715	0.942283000693631	0.0869865385360629	10.8325151977737	2.41430989444975e-27	1.04787574580996e-24	26.6172069857666	26.6172069857666
