	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	X.log10.pvalue.	X.log10.padj.
GBP1	406.450497757133	4.31448761111808	0.169275955830166	25.4878939537448	2.68524186069232e-143	4.19649597988996e-139	142.571016591144	142.571016591144
RAI14	2369.14309300593	-1.64830412514078	0.0771484719182857	-21.3653502675547	2.80739703957591e-101	2.19370004672462e-97	100.551696162391	100.551696162391
CALD1	1545.53619545324	-1.43368930300192	0.0726047929493301	-19.7464829078498	8.60027656620055e-87	4.4801707392194096e-83	86.0654875825653	86.0654875825653
H2BC12	2128.7505792438	1.17761261350917	0.0636384696803859	18.5047286558515	1.8912893109451102e-76	7.38926733786254e-73	75.7232420319501	75.7232420319501
MAOA	12277.7649716452	-0.812037311821808	0.0448591307511691	-18.1019404126694	3.07636630924867e-73	9.615490536187639e-70	72.5119619534565	72.5119619534565
SYT4	8998.59455360926	-1.25022915216199	0.0703652510407812	-17.767706839238	1.25726214824698e-70	3.2747488088006205e-67	69.9005741593331	69.9005741593331
PLEKHH2	1663.61758156	-1.29499803294728	0.0769978228666744	-16.8186318097543	1.78227332233334e-63	3.97905249734649e-60	62.7490256935209	62.7490256935209
TULP3	1417.72323208354	1.20093358256238	0.0731786943587634	16.4109730719534	1.5962645432001302e-60	3.11830278514146e-57	59.7968951329531	59.7968951329531
IL9	2028.84872653243	1.00928318182174	0.062576439470149	16.1288048723705	1.6008841848451402e-58	2.77984644897331e-55	57.7956400857584	57.7956400857584
IGSF3	32509.1839720262	-0.681887289930501	0.0444244844424376	-15.3493574205469	3.57712012811417e-53	5.59032333621682e-50	52.4464664749751	52.4464664749751
SAMD9L	2120.42829066248	0.871053313131879	0.058893156436637	14.7903995274739	1.6894797126767e-49	2.4002899045192203e-46	48.772247018879	48.772247018879
GATA3	13639.3568591848	-0.672921296485811	0.0470234525655039	-14.3103336691075	1.88606231457265e-46	2.45628182101179e-43	45.7244439624852	45.7244439624852
TENT5C	2222.5086234273	1.08271912197019	0.0768875573251208	14.0818509475062	4.91065397276249e-45	5.9033615604871e-42	44.3088606671745	44.3088606671745
H1-2	6821.56432514401	0.691361759033536	0.0492793544060563	14.0294402669482	1.0296098665210401e-44	1.14933878528505e-41	43.9873273043369	43.9873273043369
NKX2-8	1217.97166508116	-1.04346306525483	0.0748339039038117	-13.9437208380316	3.4355232825641604e-44	3.57935719066084e-41	43.4640071038965	43.4640071038965
ITGAX	755.206706360822	1.5150412892566	0.10875545529218	13.9307153391645	4.12206192706962e-44	4.02622398726525e-41	43.3848854879613	43.3848854879613
RASGRP2	861.369865361576	1.17825507408643	0.0872249045938561	13.508241477279	1.39821501110865e-41	1.285370834918e-38	40.8544260396361	40.8544260396361
KIF20A	6003.06860257679	-0.764544681025593	0.0571357602967254	-13.3811937927325	7.78862707971784e-41	6.7622591112128e-38	40.1085390897281	40.1085390897281
GATB	4593.84966113289	-0.734348650877413	0.0551147325067095	-13.3239991827596	1.67868830345134e-40	1.38076530559671e-37	39.7750299355819	39.7750299355819
HLA-DQB2	1124.87157684495	0.989664632033969	0.0777148286236638	12.7345662283635	3.79951877142079e-37	2.9689439679882097e-34	36.4202714055282	36.4202714055282
F2R	1530.58533931406	0.837824745813002	0.0674288090029404	12.4253232142431	1.90455111850331e-35	1.41734880380808e-32	34.7202073663026	34.7202073663026
BASP1	1246.90722243115	-0.990910186875438	0.0800450655537831	-12.3794037773588	3.3784321028833404e-35	2.39991531381186e-32	34.4712848047661	34.4712848047661
IL12RB1	1434.83352088102	0.847192949999054	0.069799957752692	12.1374421600761	6.688429544392149e-34	4.544642474772199e-31	33.1746758434086	33.1746758434086
