	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	X.log10.pvalue.	X.log10.padj.
S100A11	2273.41282572765	2.85057394548173	0.099625090724767	28.6130122918229	4.62839361383263e-180	8.31629764533447e-176	179.334569714317	179.334569714317
TRIM36	4596.50502346152	1.72020801066586	0.0690332652946083	24.9185375097738	4.68513403434314e-137	4.20912441645388e-133	136.329277980114	136.329277980114
B4GALT3	2234.34251118425	1.87303827544316	0.0756854623156942	24.7476624722257	3.28524115450704e-135	1.96764043547275e-131	134.483432745365	134.483432745365
CPA4	1803.15029285694	-1.93349560622787	0.0809476911866552	-23.8857412470168	4.3084839002717495e-126	1.93537096800207e-122	125.365675525565	125.365675525565
TRAC	3110.96575303854	-2.14656491591137	0.0909083353695612	-23.6124103162283	2.87386144809721e-123	1.03275084998821e-119	122.541534173494	122.541534173494
RHOU	2348.87067767233	1.99775819441095	0.0879794142828756	22.7071095061813	3.8109937859752794e-114	1.1412656057734e-110	113.418961759367	113.418961759367
EXD3	1643.34015844468	2.0161095803408	0.0905400053190651	22.2676105798313	7.61552207042128e-110	1.95479572230471e-106	109.118300318916	109.118300318916
TULP3	1327.49183777114	-2.10774107322045	0.094968846622404	-22.1940262326321	3.9225441682671503e-109	8.81003420192802e-106	108.406432157511	108.406432157511
GATA3	4131.12971871387	1.68019769602387	0.0761331502763729	22.0691996840343	6.24877623011465e-108	1.24753345891889e-104	107.204205027224	107.204205027224
COPS6	5967.97746710412	1.68857749080126	0.0802049894918595	21.0532723899009	2.1342367020601e-98	3.83479650626158e-95	97.6707574158873	97.6707574158873
BMP10	753.121215486956	-2.25130209435392	0.108327215220617	-20.7824237867555	6.24261196278281e-96	1.0197022886116498e-92	95.2046336597283	95.2046336597283
NXN	4922.04642430087	1.3628575295778	0.0665790402484707	20.469768330869	4.00519776401145e-93	5.99711611864648e-90	92.3973760349609	92.3973760349609
SH2D1A	8120.03126454966	2.25796840740232	0.110600403429904	20.4155530846086	1.2164676286252599e-92	1.68134541162605e-89	91.9148994435737	91.9148994435737
