	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	X.log10.pvalue.	X.log10.padj.
ZBTB16	310.439268667411	-2.49670004231997	0.246059086920689	-10.1467500085649	3.42582385768129e-24	5.50529893929383e-20	23.4652349705017	23.4652349705017
ALDH1A2	1978.34980883118	-2.38596357308052	0.247214363375573	-9.65139541449585	4.8491331485824e-22	3.4481740046076898e-18	21.3143358907657	21.3143358907657
CEBPE	1054.78847125242	-1.67462864108349	0.174036105011462	-9.62230590585328	6.4371636675937e-22	3.4481740046076898e-18	21.1913054486108	21.1913054486108
GATA3	7511.29166264999	-1.07337820307118	0.184485098423471	-5.81823796200233	5.94711980663461e-09	2.38925538231545e-05	8.22569331241106	8.22569331241106
LTB	726.334607476295	1.36335668792105	0.23703030812967	5.75182430752785	8.828552434993681e-09	2.83749675260697e-05	8.05411049925722	8.05411049925722
EFEMP1	50.2605716905816	-3.18132257496263	0.559287550385079	-5.68816983816686	1.28408082924061e-08	3.43919648764943e-05	7.89140763780275	7.89140763780275
PPM1H	10686.2696782835	-1.07444682101738	0.190671692081855	-5.63506207600089	1.74995290426777e-08	4.01739188165471e-05	7.75697363913762	7.75697363913762
B4GALT3	2820.70659201974	-0.840707427252862	0.150357898400617	-5.59137522002909	2.25278160414004e-08	4.52527504731631e-05	7.64728090890388	7.64728090890388
ZNF521	2704.47125271736	-0.75379264913899	0.141268426924471	-5.3358890273621	9.50775411223296e-08	0.0001697662317595	7.02192205844167	7.02192205844167
SPRY4	90.3476757055605	2.28507310996485	0.434330456959302	5.2611394696158	1.43165383461295e-07	0.0002300667712223	6.84416197915899	6.84416197915899
TPO	53.9564412174566	-2.19322245410239	0.420688509580185	-5.21341183359408	1.85398666650944e-07	0.0002708505975527	6.73189339353683	6.73189339353683
MAP3K21	1042.83796386838	-0.965037508993726	0.190119340502725	-5.07595653573128	3.85551427045515e-07	0.0005163176193851	6.41391768507743	6.41391768507743
HNRNPA1P21	130.44275553341	-2.16610056729867	0.430450782387551	-5.03216780158724	4.84964487212123e-07	0.0005994907161152	6.31429006257813	6.31429006257813
RHEX	4640.31869003088	-2.29851352045972	0.46071594158846	-4.98900366359126	6.06914961844621e-07	0.0006966516740602	6.21687215602335	6.21687215602335
KRT1	135.631519025276	-2.66693686553137	0.537761440310874	-4.95933078427796	7.07364322850813e-07	0.0007578229778808	6.15035684836599	6.15035684836599
TULP3	1967.95292439625	1.04568416240073	0.216988012841645	4.81908723300701	1.44216491392327e-06	0.0014484743854216	5.84098507449058	5.84098507449058
HSPA6	213.756943750659	-1.49999758022116	0.316956665227385	-4.73250051121362	2.21770745873406e-06	0.0020963858154033	5.65409574287432	5.65409574287432
THEMIS	2994.88385241611	2.38254689333583	0.507743375441837	4.69242339452001	2.69987644641487e-06	0.0024103896941048	5.5686561098662	5.5686561098662
TESPA1	4999.49869910071	-0.652818458396974	0.140706929456024	-4.63956154057789	3.49149154805158e-06	0.0029530667987994	5.45698900493014	5.45698900493014
LHFPL2	690.430310112487	-0.947610867115743	0.211487782735842	-4.48068845801533	7.44026494692505e-06	0.0059782528848542	5.12841159900536	5.12841159900536
SLC7A8	451.908679678303	-0.880279251343997	0.199571507020118	-4.41084634018051	1.02967369964372e-05	0.0078794554063212	4.98730038004784	4.98730038004784
ENSG00000289066	52.439860899835	3.90407953144125	0.888668932818195	4.39317656695889	1.11706329329905e-05	0.0081596396015071	4.95192221887028	4.95192221887028
NNMT	109.857275451587	-2.61510914816194	0.602165955561638	-4.34283792367975	1.40653900705254e-05	0.0098274268884062	4.85184821919535	4.85184821919535
RAB20	100.757711079511	3.14813079952402	0.73876931797688	4.26131773872957	2.03225055593673e-05	0.0130876400363304	4.69202274897052	4.69202274897052
SPTBN2	4449.11324582336	-0.693589503119125	0.162779975265765	-4.26090188296641	2.03603609774897e-05	0.0130876400363304	4.69121452647564	4.69121452647564
SLC12A6	304.4583944952	-0.860461751115909	0.203578203510884	-4.22668898868589	2.37155096553931e-05	0.0146580092370064	4.62496753775693	4.62496753775693
LST1	514.989933568632	0.8489117704194	0.201409521651657	4.21485421075382	2.49939592438429e-05	0.0148760342610576	4.60216494269081	4.60216494269081
NT5E	117.081642679925	-1.44013603589739	0.343565431948076	-4.19173729944707	2.7682643245553e-05	0.015887859891287	4.55779244412312	4.55779244412312
STRA6	414.874280522495	0.906760549479344	0.217821155774463	4.16286722130069	3.142761369695e-05	0.0174152328313788	4.50268859377056	4.50268859377056
PHLDA1	852.85090290251	0.728437793291225	0.177922186450975	4.0941369248064	4.23743853030447e-05	0.0220632780223269	4.37289658876366	4.37289658876366
LGALS12	524.586344598807	-1.60861801131761	0.393466725008605	-4.0883203307279	4.34507885436706e-05	0.0220632780223269	4.36200233757993	4.36200233757993
ENSG00000216906	166.466089836922	-1.38847074211404	0.339832384306924	-4.08575170063847	4.3934343292748e-05	0.0220632780223269	4.35719586081768	4.35719586081768
STAM	1630.41211271651	-0.686189753581907	0.169264827981088	-4.05394175367948	5.03617608778472e-05	0.023657684403356	4.29789909337429	4.29789909337429
GALNT9	310.217598932417	0.846795435417497	0.209120018081693	4.04932747799732	5.13650271798437e-05	0.023657684403356	4.28933247774252	4.28933247774252
TNXB	182.093162498168	2.85539534738429	0.705280354164415	4.04859617955365	5.1525759434814e-05	0.023657684403356	4.28797559846348	4.28797559846348
ZFHX3	654.060966323917	1.06167608685546	0.263537063072869	4.0285646143135	5.61184377417831e-05	0.0250506470697349	4.2508944276217	4.2508944276217
TPSAB1	33.6427211203785	3.3120500793681	0.825037967288186	4.01442140930128	5.95917950606775e-05	0.0258821661250024	4.22481353229286	4.22481353229286
CA9	241.750460724095	2.52925679069666	0.632339313715451	3.99984112301266	6.33850222676086e-05	0.0268051923115913	4.1980133527649	4.1980133527649
EPSTI1	1012.23103002768	-0.898717142637798	0.226391820899633	-3.96974210051621	7.19504671636867e-05	0.0289284390660131	4.14296638190872	4.14296638190872
KCNH2	12843.8993119207	-0.581862077025068	0.146581073633677	-3.96955802410895	7.2006071103953e-05	0.0289284390660131	4.14263088501609	4.14263088501609
MYO7B	13411.5334112253	0.773862157152224	0.196682997783259	3.9345655998441	8.33473029194991e-05	0.0322287867381844	4.07910844917887	4.07910844917887
ADTRP	53.4155695481503	-1.55227496246586	0.394777131567814	-3.93202857597444	8.42320499691192e-05	0.0322287867381844	4.0745226296843	4.0745226296843
USF3	973.832958220027	0.711178371838819	0.183302286007578	3.87981179792498	0.0001045373188237	0.0390677840348156	3.98072864289332	3.98072864289332
MKI67	30776.3066732013	1.49628457311209	0.389074471188457	3.84575366392346	0.0001201824583887	0.0438939115069785	3.92015891653393	3.92015891653393
CYRIA	195.868311105142	-1.12514695519389	0.294766300454061	-3.81708137416219	0.0001350396419765	0.0466130788675883	3.86953872213886	3.86953872213886
SMG1	7551.20262689757	0.84063341283165	0.220476880682004	3.8127961999068	0.0001374034089924	0.0466130788675883	3.86200249225292	3.86200249225292
ENSG00000266711	239.371997062846	2.26680504473312	0.594671096955083	3.81186349284491	0.0001379230437446	0.0466130788675883	3.86036316721732	3.86036316721732
PLEKHF1	2088.7715358764	1.54768495175221	0.406266429857305	3.80953196722606	0.0001392301048938	0.0466130788675883	3.85626684967029	3.85626684967029
CSRNP2	7789.90682334553	-1.01027693531891	0.266249095137746	-3.79448025840704	0.0001479530526164	0.0476043390462904	3.82987606990313	3.82987606990313
HSPA8P5	87.79527266308	2.84410826144684	0.74959210520906	3.79420786542786	0.000148115553971	0.0476043390462904	3.82939933277454	3.82939933277454
TRPC6	20.6160953462287	-3.48932758620916	0.930385634399522	-3.75040999903357	0.0001765456647842	0.055629192805551	3.75314294240782	3.75314294240782
SYNE2	1922.78115607073	1.25535372592808	0.335475732415588	3.74201053795733	0.0001825538581552	0.0564161634722042	3.73860898409019	3.73860898409019
CD55	39.2324472346342	-2.21883486637945	0.594177464854646	-3.73429656562665	0.0001882405767085	0.0567819816508873	3.7252867552914	3.7252867552914
NOG	283.66115233115	0.960506402836918	0.257446980908382	3.73089014074993	0.0001908044187397	0.0567819816508873	3.71941157191666	3.71941157191666
RAB44	1717.93441038702	-0.57487952159441	0.156817651904345	-3.6659107862747	0.00024645984128	0.0720110845340205	3.60825383554007	3.60825383554007
ENSG00000261211	142.584332328966	1.70683613674436	0.468368334274244	3.64421762070908	0.0002682064179048	0.0757634182133206	3.57153083413795	3.57153083413795
FLT1	2569.73960093473	-0.81750848232433	0.224430308487009	-3.64259394301751	0.0002699044265602	0.0757634182133206	3.56878999275024	3.56878999275024
TNS1	31.7987499965653	4.32216236090483	1.18765588994373	3.63923792868119	0.0002734460644911	0.0757634182133206	3.56312832272665	3.56312832272665
LPP	1428.18143545438	0.799317684322861	0.220069780357216	3.63211015626686	0.0002811130666039	0.0765675759377124	3.55111896719195	3.55111896719195
KMT2C	4353.67431160005	1.12706139480678	0.31085983184708	3.62562569795513	0.0002882626373149	0.0772063430275218	3.54021164432521	3.54021164432521
LYL1	6788.06570634671	-0.620720231095749	0.172498032516728	-3.59841919376995	0.0003201572915305	0.0843430766376252	3.49463660274064	3.49463660274064
CFLAR	703.773054260012	0.625202529760757	0.174040006661507	3.5922920353406	0.0003277822179751	0.0849590361751803	3.48441461038946	3.48441461038946
SSPOP	37.7823491428162	3.3002208780328	0.92031433780172	3.5859713822516	0.0003358257881244	0.0856622288120541	3.47388595736381	3.47388595736381
P2RX5	1383.02129782697	-0.711994947439892	0.199202215406448	-3.57423207361	0.0003512572825387	0.0875421827408604	3.45437466286304	3.45437466286304
HHEX	1296.61780701201	-0.903817078632274	0.253019163197035	-3.5721289534439	0.0003540909693936	0.0875421827408604	3.450885149188	3.450885149188
LGALS14	40.2572288036817	-1.70542244731676	0.478755211759504	-3.56220132006302	0.0003677581944761	0.0892528834028331	3.434437641439	3.434437641439
CD69	393.163671078434	1.9202879780009	0.539542130902468	3.55910663508134	0.0003721184311132	0.0892528834028331	3.4293188187381	3.4293188187381
