id	logFC	adj.P.Val	P.Value	t	AveExpr	-log10(pvalue)	-log10(padj)
CRYAB	1.830899846	5.65787e-10	1.17021e-13	38.65252437	29.81226782	12.9317361949569	9.24734703548123
CRABP2	-2.267398583	5.65787e-10	1.59962e-13	-37.6210759	25.40685436	12.7959831745339	9.24734703548123
ALDH1A1	-2.058635316	4.23346e-09	1.79536e-12	-30.50568853	24.93667224	11.7458484549757	8.37330453932007
SERPINH1	-0.955732483	1.65428e-08	9.35416e-12	-26.42308762	28.38900725	11.0289952058918	7.78139098077908
EGLN1	1.870348872	2.1546e-08	1.5229e-11	25.32271913	23.6364457	10.8173286133245	7.66663334449028
KLRG2	1.193003243	3.38115e-08	2.86782e-11	23.95969174	25.79940507	10.5424481108355	7.47093556193839
TGM2	-2.055077885	4.79211e-08	4.74198e-11	-22.92734965	25.6524159	10.324040282055	7.31947322153596
MAN2B1	-3.906797258	5.01195e-08	5.66802e-11	-22.57154037	19.56174797	10.2465686259838	7.2999932702462
SCEL	1.030419655	9.54449e-08	1.21431e-10	21.11042877	25.17689096	9.91567042849718	7.02024727272901
TENM3	-1.236541553	1.56012e-07	2.20543e-10	-20.02949467	24.81873622	9.65650672210511	6.80684199566253
STAT6	-3.457849016	6.05479e-07	9.41514e-10	-17.61463932	20.45311059	9.02617321778482	6.2179009150185
PAGE5	6.463661938	7.80598e-07	1.32417e-09	17.26260819	19.17063885	8.87805625558931	6.10757256577585
PTGS1	-2.992904148	1.31405e-06	2.59627e-09	-16.09157762	21.55196249	8.58565014491763	5.88138810942543
GSPT2	2.235136651	1.31405e-06	2.69068e-09	16.04023064	18.41214473	8.57013794939266	5.88138810942543
POR	-0.927575574	1.31405e-06	2.78637e-09	-15.99014689	25.67498672	8.55496121444151	5.88138810942543
PDCD4	0.9516109	1.53702e-06	3.55516e-09	15.6448917	25.23858191	8.44914084906827	5.81332048134012
CCDC6	-1.548659016	1.53702e-06	3.69371e-09	-15.59134662	25.15180348	8.4325372048199	5.81332048134012
ASS1	-0.827554689	1.72357e-06	4.38567e-09	-15.35290663	27.34187591	8.35796404994323	5.76357107373187
GPX4	0.908184214	2.0591e-06	5.53051e-09	15.03612009	24.54405906	8.25723481806727	5.68632256139868
EEF1A2	1.152087769	3.00622e-06	8.49934e-09	14.46485924	27.29604892	8.07061479728415	5.52197924021955
CA2	-0.950832429	3.04337e-06	9.03459e-09	-14.38528337	29.73076901	8.04409155143485	5.51664524475325
NT5E	2.542726074	3.04989e-06	9.4851e-09	14.32216058	19.60344133	8.02295808604899	5.51571582401534
AHNAK2	1.132553621	4.19956e-06	1.37143e-08	13.85189559	26.04576226	7.86282635458484	5.37679620950262
COL18A1	-1.057219469	4.19956e-06	1.42479e-08	-13.8040195	24.23004222	7.84624914166389	5.37679620950262
C3	-1.017599568	4.7421e-06	1.67589e-08	-13.60204108	25.41979722	7.77575449045562	5.32402929198789
DIRAS2	-2.322019006	5.80795e-06	2.15619e-08	-13.29368235	17.55259717	7.66631297246681	5.23597713108509
ADH5	-0.722195371	5.80795e-06	2.21677e-08	-13.26015953	25.89490894	7.65427936458175	5.23597713108509
FSCN1	-0.757370499	5.94104e-06	2.35156e-08	-13.18899552	25.20085205	7.62864393576269	5.22613752358346
TRIM29	0.834444625	7.02885e-06	2.88149e-08	12.94654606	25.43646847	7.5403828832672	5.15311572469695
MAFF	-1.043657705	7.63411e-06	3.23753e-08	-12.80933489	22.68661432	7.48978619857893	5.11724158658644
ATXN7L3B	1.338584348	7.66507e-06	3.35902e-08	12.76621725	22.26056047	7.47378741031023	5.11548387466806
TPK1	1.366757355	9.09504e-06	4.11424e-08	12.53110412	21.72996291	7.38571037777608	5.04119538656849
CBS	-0.581537618	9.2852e-06	4.38705e-08	-12.45746413	26.17805839	7.35782741583432	5.03220873727036
FASN	-0.584529933	9.2852e-06	4.46278e-08	-12.43789945	30.34248963	7.35039452188477	5.03220873727036
CAPG	0.828105911	1.04603e-05	5.17545e-08	12.26963788	23.55842771	7.28605188277534	4.98045585978268
EEF1A1	-0.396050833	1.10614e-05	5.62919e-08	-12.17507394	32.42098747	7.24955409250893	4.95618990252534
NAA15	-0.555324762	1.2e-05	6.2765e-08	-12.05353313	26.3055885	7.20228246683916	4.92081875395237
SFXN3	0.801746891	1.24034e-05	6.69778e-08	11.98149533	23.10422321	7.17406912170436	4.90645925041533
FADS2	-1.638056123	1.24034e-05	6.83818e-08	-11.95856875	21.60950291	7.165059471545	4.90645925041533
CKAP4	-0.619402248	1.25897e-05	7.11884e-08	-11.91422428	26.32712205	7.14759076797015	4.89998461857338
IL18	-2.491883236	1.33966e-05	7.76449e-08	-11.81899447	20.4253022	7.10988706504292	4.87300540973968
MAOA	-2.01003017	1.37267e-05	8.14985e-08	-11.76614582	19.2578809	7.08885038448355	4.86243385781416
RBP7	-1.131707323	1.55816e-05	9.53125e-08	-11.59669528	22.17970771	7.02085013897312	4.80738794874989
COL12A1	-0.870051514	1.55816e-05	9.95541e-08	-11.54994753	24.64695539	7.0019408494416	4.80738794874989
DBI	0.637097737	1.55816e-05	1.00012e-07	11.54503015	26.50753019	6.99994788778884	4.80738794874989
ACOX1	-0.725154972	1.55816e-05	1.01323e-07	-11.53108769	23.42278635	6.99429195997745	4.80738794874989
FLOT2	-0.822224548	1.57675e-05	1.0476e-07	-11.49542531	25.61846244	6.9798045102468	4.80223716033464
OTULINL	0.930269477	1.68345e-05	1.14229e-07	11.40336327	22.4778122	6.94222362515222	4.77379977802645
CPNE8	2.664964104	1.69493e-05	1.17404e-07	11.37432879	18.09028659	6.93031710625421	4.77084823329659
PYGL	0.460682625	1.70431e-05	1.20463e-07	11.34714547	27.24919854	6.91914632539903	4.76845140778265
CD44	0.922057885	1.71956e-05	1.23972e-07	11.31686238	24.16233115	6.90667639240737	4.76458266589355
NQO1	0.533785796	1.9608e-05	1.44135e-07	11.15904901	26.17196769	6.84123054756083	4.70756670175598
MYL12B	0.52502204	1.98765e-05	1.48919e-07	11.12510119	28.30709634	6.8270498887573	4.70166008696626
ANXA5	-0.647669585	2.20599e-05	1.68396e-07	-10.99808574	29.40502577	6.7736682287423	4.65639646059694
GLS	0.950678144	2.24993e-05	1.76728e-07	10.94851618	24.84920848	6.75269463735156	4.6478309934827
GLG1	-0.742630953	2.24993e-05	1.78112e-07	-10.9405308	24.80105595	6.74930681968207	4.6478309934827
KCTD12	-0.626064051	2.63971e-05	2.15115e-07	-10.74868145	23.82717587	6.66732930513975	4.57844378234142
PPP3CA	-0.693463025	2.63971e-05	2.16431e-07	-10.74253112	23.18836643	6.66468053393186	4.57844378234142
DPYSL2	-0.826124514	2.89288e-05	2.41277e-07	-10.63340308	23.10165676	6.61748407572555	4.53866958101455
POFUT1	0.613512788	2.93279e-05	2.48752e-07	10.60293309	25.04590029	6.60423341878134	4.53271903320299
BDH2	-4.718729155	2.99897e-05	2.58605e-07	-10.67119546	18.24424314	6.58736308250506	4.52302787865515
TAGLN2	0.536847245	3.16195e-05	2.77128e-07	10.49562753	29.83723284	6.55731959247414	4.50004500185978
ACP3	-1.901778382	3.35256e-05	2.98867e-07	-10.42114619	17.31425472	6.52452203581086	4.47462344093774
SRI	-0.798302193	3.35256e-05	3.06192e-07	-10.39735521	24.77558604	6.51400616047395	4.47462344093774
COL6A6	-0.942590253	3.35256e-05	3.08706e-07	-10.3893329	22.32853567	6.51045492950213	4.47462344093774
HMGCS1	-0.868235608	3.35256e-05	3.1519e-07	-10.36895768	25.22601725	6.50142756977929	4.47462344093774
KLB	0.862651372	3.35256e-05	3.17531e-07	10.3617124	26.80416012	6.49821386888625	4.47462344093774
HMGB2	-0.724149165	3.38221e-05	3.27294e-07	-10.33210722	26.29444591	6.48506195616702	4.47079943073893
RAB25	0.739439569	3.38221e-05	3.29902e-07	10.32435859	23.9874571	6.48161505157702	4.47079943073893
SPON1	-0.747315557	3.56587e-05	3.53075e-07	-10.25828248	27.09091109	6.45213303221437	4.44783449383362
OTUD4	-0.968558819	3.56587e-05	3.62521e-07	-10.23267607	22.05903458	6.4406668306931	4.44783449383362
ITSN1	-0.814305419	3.56587e-05	3.62939e-07	-10.23156143	22.60373422	6.44016636171197	4.44783449383362
EXOC6	-0.891913444	3.5815e-05	3.70344e-07	-10.21200877	25.42409099	6.43139468702697	4.44593504450536
CHMP4A	-0.935858283	3.5815e-05	3.75285e-07	-10.19919628	22.63269851	6.42563879382677	4.44593504450536
NAA10	-0.593542065	3.5815e-05	3.79717e-07	-10.18785723	25.0250408	6.42053995898103	4.44593504450536
RRBP1	-0.448766972	3.7612e-05	4.04087e-07	-10.12795336	26.59829201	6.39352512114627	4.42467357256351
MISP	0.835436246	4.08189e-05	4.49452e-07	10.02614785	25.74762997	6.34731668268101	4.38913870296064
ZNRD2	0.688638268	4.08189e-05	4.50081e-07	10.02481441	23.72203269	6.34670932025264	4.38913870296064
MVP	1.042484384	4.0885e-05	4.5659e-07	10.01114273	21.85688277	6.34047360443662	4.38843599791188
PLOD2	0.850567951	4.12648e-05	4.66665e-07	9.99038707	23.97275802	6.33099477009592	4.38442025546453
TTLL12	-0.562107518	4.6608e-05	5.3368e-07	-9.863543891	24.88613532	6.27271907235547	4.33153953271641
WDR6	-0.809040684	5.12884e-05	5.94522e-07	-9.762430206	22.16452846	6.22583206989	4.28998084903348
NIBAN1	0.67303352	5.17038e-05	6.06646e-07	9.743615589	24.32257204	6.21706466163378	4.28647753701468
SEC24D	-1.219707401	5.26547e-05	6.2571e-07	-9.714835536	21.40773023	6.20362690414008	4.27856285728071
SAR1A	-0.904301951	5.26547e-05	6.3269e-07	-9.70453251	25.46460057	6.19880902974054	4.27856285728071
GUCY1A1	-1.384335594	5.33268e-05	6.48304e-07	-9.681923695	17.31058828	6.18822129881578	4.2730544763966
ADI1	-0.572856542	5.50963e-05	6.77605e-07	-9.641033656	23.06976768	6.16902339803686	4.25887756527775
STON1	-2.166430109	6.27016e-05	7.80003e-07	-9.511768081	19.80006121	6.10790372694934	4.20272137683587
ALDH8A1	-0.69661992	6.28599e-05	7.94816e-07	-9.494592435	23.48846221	6.09973339893292	4.20162631421062
DYSF	2.018256697	6.28599e-05	7.99744e-07	9.488954671	18.15628531	6.09704900948289	4.20162631421062
PGM2L1	-0.503213607	6.28848e-05	8.08951e-07	-9.478521477	24.55756137	6.09207778379453	4.20145431598341
AGRN	-0.85073001	6.32028e-05	8.21976e-07	-9.46397683	25.36300692	6.08514086277592	4.19926368124906
