id	logFC	adj.P.Val	P.Value	t	AveExpr	-log10(pvalue)	-log10(padj)
NPR3	-5.505495811	4.9023e-11	6.93003e-15	-49.34161309	21.85051732	14.1592648853296	10.3096001152875
CDK6	-3.450556724	3.58289e-10	1.01297e-13	-39.13798673	21.84637205	12.9944034164634	9.44576652510945
NIBAN1	2.317999387	1.41103e-09	5.984e-13	33.55805362	24.32257204	12.2230084151436	8.85046375258445
NT5E	5.021261626	7.02343e-09	4.28542e-12	28.28276158	19.60344133	11.3680066078729	8.15345074167763
UGDH	1.098948356	7.02343e-09	4.96426e-12	27.92298921	27.16125409	11.3041454806769	8.15345074167763
CRYAB	1.276102552	8.72798e-09	7.49014e-12	26.94007818	29.81226782	11.1255100647225	8.05908625759611
PLCD3	1.889040057	8.72798e-09	9.83566e-12	26.30766062	24.05731828	11.0071964924055	8.05908625759611
PLOD2	2.23583313	8.72798e-09	1.00375e-11	26.26108634	23.97275802	10.9983744417133	8.05908625759611
CRABP2	-1.557545232	8.72798e-09	1.2064e-11	-25.84306432	25.40685436	10.9185086714743	8.05908625759611
JAG1	-3.125717638	8.72798e-09	1.23381e-11	-25.7924366	23.06789131	10.9087517141316	8.05908625759611
NAV2	-2.005488443	1.31476e-08	2.22273e-11	-24.49970151	22.76134151	10.6531132888222	7.88115351727944
EGLN1	1.809022173	1.31476e-08	2.2303e-11	24.4924148	23.6364457	10.6516367156148	7.88115351727944
PYGL	0.953784703	1.83745e-08	3.59072e-11	23.49281953	27.24919854	10.4448184593117	7.73578446994148
S100A9	3.510987864	1.83745e-08	3.63645e-11	23.46679807	22.01295677	10.4393223794588	7.73578446994148
HMGCS1	-1.946529839	1.90989e-08	4.04981e-11	-23.24655351	25.22601725	10.3925653515723	7.71899164519662
DPYSL2	-1.750847517	2.55152e-08	5.77104e-11	-22.53590963	23.10165676	10.2387459155165	7.59320102311635
S100A2	-1.500437521	2.74649e-08	6.73517e-11	-22.23250374	27.76903624	10.1716514379321	7.56122197791068
ARHGDIB	1.503261989	2.74649e-08	6.98853e-11	22.16056312	24.70941822	10.1556141661752	7.56122197791068
S100A16	2.668740462	3.44337e-08	9.33703e-11	21.60382095	22.45456935	10.029791245797	7.46301630859804
MVP	2.24141556	3.44337e-08	9.73527e-11	21.52466879	21.85688277	10.0116519991636	7.46301630859804
NAP1L1	-0.952811478	3.96776e-08	1.17787e-10	-21.16707561	26.68565022	9.9289026394285	7.40145460512369
CAPN6	-4.303955213	4.68068e-08	1.45568e-10	-20.77630056	19.36574892	9.83693408485014	7.32969104889278
CLIC4	1.115999175	5.28549e-08	1.77193e-10	20.41966858	26.14935336	9.7515534388904	7.27691474450951
FN1	2.543766794	5.28549e-08	1.79321e-10	20.49937819	24.68437803	9.74636884791649	7.27691474450951
CA2	1.33442453	5.70459e-08	2.01604e-10	20.18870457	29.73076901	9.69550085535799	7.24377556371487
SCEL	0.974423826	6.2302e-08	2.28987e-10	19.9632302	25.17689096	9.64018917263183	7.20549801152667
CNN3	-1.024103083	6.48069e-08	2.47355e-10	-19.82779068	27.86674946	9.60667930644206	7.18837875227148
S100A8	3.423993756	8.55999e-08	3.38818e-10	19.2844436	20.52863914	9.47003352545756	7.06752674267651
AIF1L	-2.103561072	9.81537e-08	4.02383e-10	-18.99349111	21.76944396	9.39536037577059	7.00809332459891
CD44	1.541143443	9.94172e-08	4.21616e-10	18.91519886	24.16233115	9.37508291634423	7.00253847255563
TRHDE	-1.05049949	1.0479e-07	4.59216e-10	-18.7727466	24.7238135	9.33798298866179	6.97968015964269
CYRIA	1.736419585	1.47553e-07	6.67472e-10	18.16089187	21.76839275	9.17556694794173	6.83105195613894
CDH6	-1.202900538	1.58091e-07	7.421e-10	-17.99092012	25.28335015	9.12953756841108	6.80109285341753
ITGA3	1.035492089	1.58091e-07	7.5984e-10	17.95323926	26.24149062	9.11927784776206	6.80109285341753
PPIC	-2.113543868	1.76994e-07	8.75712e-10	-17.72839839	21.5119734	9.05763869905551	6.75204145573457
ASS1	-0.950958367	1.81769e-07	9.25031e-10	-17.64230836	27.34187591	9.03384371277086	6.74048018204318
FAT2	-1.156364632	2.04406e-07	1.06913e-09	-17.41670227	25.30204594	8.97096948389318	6.68950636035412
DPYSL5	-3.560539711	2.15075e-07	1.15534e-09	-17.29696593	20.25830254	8.93729019032198	6.66741006842725
ACSF2	1.099624538	2.27419e-07	1.2865e-09	17.13219447	24.16015065	8.89059020945363	6.643173254466
LNPEP	-0.790555849	2.27419e-07	1.34748e-09	-17.06168921	25.50489388	8.87047767211829	6.643173254466
EHD4	0.929018649	2.27419e-07	1.40037e-09	17.00327819	25.77973589	8.8537572016588	6.643173254466
SLC34A2	-0.887261795	2.27419e-07	1.41752e-09	-16.98483997	26.74617877	8.84847080486655	6.643173254466
