id	logFC	adj.P.Val	P.Value	t	AveExpr	-log10(pvalue)	-log10(padj)
VIT	6.221681941	7.73194e-11	2.15494e-14	41.40716512	25.36962575	13.6665648173973	10.1117115247638
CTHRC1	-2.424699108	1.9527e-08	1.08846e-11	-24.59065131	24.42453202	10.9631875262908	7.70936447373845
MUC16	1.860099721	4.86056e-08	4.36755e-11	21.86691477	29.70807913	10.3597621144847	7.31331369145805
CD70	-5.593854618	4.86056e-08	5.41868e-11	-21.47096374	19.83518514	10.2661064954792	7.31331369145805
LAMA3	-1.794789863	5.17077e-08	7.20564e-11	-20.95812861	29.47314123	10.142327439399	7.28644477956546
CSPG4	-2.148719569	5.99145e-08	1.00192e-10	-20.37951769	25.91264054	9.99916695406318	7.22246806061703
CDH6	2.307603073	7.82865e-08	1.52733e-10	19.66150134	31.03780705	9.81606711769465	7.10631312275678
GGH	2.76682177	1.03442e-07	2.3064e-10	18.9826879	28.37293733	9.63706537061985	6.98530309117709
PRKDC	-2.341900389	1.10111e-07	2.93816e-10	-18.59431344	25.69502917	9.53192455802667	6.9581692931929
FBN1	-2.766043854	1.10111e-07	3.06886e-10	-18.52528969	25.10041429	9.51302292343338	6.9581692931929
KDM2A	-3.083974901	1.21484e-07	3.72444e-10	-18.22113317	20.76336799	9.42893901773257	6.91548091687455
CTSS	-5.136283933	1.56506e-07	5.37347e-10	-17.6580155	19.4519708	9.2697451714396	6.80546900816902
GPRC5C	-2.160601121	1.56506e-07	5.6705e-10	-17.57673837	24.34491817	9.24637864522224	6.80546900816902
FBLN1	-1.977755336	1.75104e-07	6.83238e-10	-17.29784936	28.97670296	9.16542798726728	6.75670393296803
PVR	1.51650706	1.85059e-07	7.73659e-10	17.11417538	26.41684195	9.11145041793569	6.73268978895152
FN1	-2.461648959	2.27569e-07	1.02394e-09	-16.70657744	33.43923946	8.98972549104803	6.64288689889334
SLC39A10	2.102688753	2.27569e-07	1.07823e-09	16.63244182	25.36292656	8.96728858880009	6.64288689889334
EDA	4.29149566	2.43967e-07	1.25864e-09	16.41222001	19.76670611	8.90009847034538	6.61266891418235
PRCP	1.624131779	2.43967e-07	1.29191e-09	16.37534479	25.72012289	8.88876774010627	6.61266891418235
PLCB4	-2.584492056	2.71334e-07	1.51245e-09	-16.15421628	23.48179431	8.82031897375518	6.56649578276916
TACSTD2	-2.283691899	2.79832e-07	1.64967e-09	-16.03354858	25.60118075	8.78260292336952	6.55310262355121
WDR62	-3.404765862	2.79832e-07	1.80004e-09	-15.91317453	17.86688399	8.74471784401544	6.55310262355121
EEF1A2	-3.407127864	2.79832e-07	1.83346e-09	-15.88789651	24.69409481	8.73672856046137	6.55310262355121
LRP2	3.512083071	2.79832e-07	1.94329e-09	15.80818786	24.59150979	8.71146238416513	6.55310262355121
THBS1	-1.534024485	2.79832e-07	1.99539e-09	-15.77206531	28.98288373	8.69997220860146	6.55310262355121
CCN2	-1.748866526	2.79832e-07	2.02777e-09	-15.75012044	25.06996382	8.69298130643708	6.55310262355121
