id	logFC	adj.P.Val	P.Value	t	AveExpr	-log10(padj)	-log10(pvalue)
NPR3	-4.104938759	5.0317e-10	1.40237e-13	-35.41926705	24.80585522	9.298285260295	12.8531373873976
PCDH20	-5.170609811	1.11426e-09	7.7e-13	-30.71814286	20.51664314	8.95301345961977	12.1135092748275
IGFBP7	-3.950775594	1.11426e-09	1.06431e-12	-29.89639631	27.26851811	8.95301345961977	11.9729318573036
HTRA1	-3.231900226	1.11426e-09	1.2422e-12	-29.51160854	24.58426655	8.95301345961977	11.9058084750905
B4GALNT1	-6.012473212	3.41144e-09	4.75396e-12	-26.36688095	20.64445178	8.46706226263647	11.3229444767627
HP	6.757480854	5.64952e-09	1.22294e-11	24.35031962	23.00637501	8.2479884495623	10.9125948498387
NELL2	-3.217692464	5.64952e-09	1.25065e-11	-24.30435305	23.45659713	8.2479884495623	10.9028642125576
IGFBP3	-3.23795526	5.64952e-09	1.25965e-11	-24.28966979	26.90969965	8.2479884495623	10.8997501089968
VIT	3.554908479	6.85919e-09	1.72053e-11	23.65898543	25.36962575	8.16372716699008	10.7643377504067
LTBP1	-2.959442726	1.49141e-08	4.4076e-11	-21.85001358	23.69672125	7.82640294926316	10.3557978256071
COL15A1	-4.500552869	1.49141e-08	4.57232e-11	-21.78221056	20.93202482	7.82640294926316	10.3398633825263
MAMDC2	-2.761681963	2.65502e-08	8.87966e-11	-20.58966407	25.81220394	7.57593220307331	10.0516036629321
MMP10	3.195345927	3.27151e-08	1.25012e-10	19.99955284	25.00598368	7.48525174785892	9.90304829672278
COCH	-1.975171895	3.27151e-08	1.27651e-10	-19.96403755	25.91509476	7.48525174785892	9.89397577864445
CACHD1	1.863261903	3.54532e-08	1.48216e-10	19.71182712	25.98359485	7.45034455936325	9.82910491149408
GNS	-2.052557006	4.19855e-08	1.92223e-10	-19.27999932	27.94079419	7.3769006704894	9.71619464905318
LNPEP	-1.609813731	4.19855e-08	1.98928e-10	-19.22371782	26.81097106	7.3769006704894	9.70130408369483
CHI3L1	-3.429067769	5.44139e-08	2.72979e-10	-18.71152323	23.56417899	7.26429014584965	9.56387076151204
MPHOSPH8	-4.79638192	5.55427e-08	3.12232e-10	-18.49796902	19.27492853	7.25537301247557	9.50552258906592
TRIM56	-6.793024838	5.55427e-08	3.19123e-10	-18.46348692	18.47318344	7.25537301247557	9.49604189397911
APLP2	1.508299164	5.55427e-08	3.29028e-10	18.4153012	29.24554101	7.25537301247557	9.48276714239025
AREG	5.084433721	5.55427e-08	3.40563e-10	18.36113012	19.82106888	7.25537301247557	9.4678025371388
COL5A2	-3.817152669	5.80244e-08	3.71951e-10	-18.22805688	27.57149468	7.23638934166113	9.42951426934195
TRIM2	-2.677254959	6.03055e-08	4.05738e-10	-18.08811954	22.98478684	7.21964307740009	9.39175431589076
LPL	-3.506162263	6.03055e-08	4.20188e-10	-18.03401385	17.81569764	7.21964307740009	9.37655635461498
