id	logFC	adj.P.Val	P.Value	t	AveExpr	-log10(pvalue)	-log10(padj)
VIT	5.967260315	1.27616e-10	3.55675e-14	39.71391265	25.36962575	13.4489466598174	9.89409487204048
MUC16	3.02687886	2.3804e-10	1.32687e-13	35.58330843	29.70807913	12.8771716250243	9.62335005840724
CTHRC1	-2.961966271	1.20241e-09	1.00536e-12	-30.03947151	24.42453202	11.9976783979272	8.91994742053928
EDA	7.597275446	1.34217e-09	1.49629e-12	29.05470865	19.76670611	11.824984226529	8.87219247270201
NAAA	-5.724833425	2.84244e-09	3.96698e-12	-26.77112257	22.69208598	11.4015399890675	8.54630869390282
NID1	-2.25707217	2.84244e-09	4.75324e-12	-26.3672174	27.10338887	11.3230102568089	8.54630869390282
AEBP1	-3.274913498	3.01609e-09	5.88424e-12	-25.89801237	24.22487302	11.2303096220509	8.52055570327965
DSC2	2.829043528	3.32616e-09	7.41618e-12	25.39850419	26.42430485	11.1298197378633	8.47805686352125
BGN	1.901272697	1.63563e-08	4.10275e-11	21.98304834	28.26679239	10.3869249458477	7.78631493240789
FBN1	-3.232136159	1.76576e-08	4.92129e-11	-21.6468942	25.10041429	10.3079210422635	7.75306832553693
CDH6	2.382318684	3.42565e-08	1.05023e-10	20.29810177	31.03780705	9.97871558017544	7.46525701114094
NRP2	-1.862268463	8.3552e-08	2.79438e-10	-18.67418534	24.44912917	9.55371453570162	7.07804314985715
LRRC4B	2.35897985	9.56069e-08	3.46402e-10	18.33445772	22.47318331	9.46041960918802	7.01951076333281
PTPRK	1.922604942	1.05239e-07	4.42236e-10	17.9552214	28.41324157	9.35434590679356	6.97782328731139
ADAMTSL3	-1.798319893	1.05239e-07	4.46586e-10	-17.94017533	23.58909639	9.35009489572506	6.97782328731139
KCTD12	-2.564780915	1.05239e-07	4.86896e-10	-17.8078603	23.28503469	9.31256379330184	6.97782328731139
CCN2	-1.973326169	1.05239e-07	4.98623e-10	-17.77158197	25.06996382	9.30222769265394	6.97782328731139
CNTN1	2.619352216	1.53001e-07	7.67562e-10	17.1258133	23.96555361	9.11488653419558	6.81530573066565
NCAM1	1.743981443	1.76809e-07	9.67871e-10	16.78774736	29.17922022	9.01418252256919	6.75249563213485
ANPEP	-2.548949109	1.76809e-07	9.8556e-10	-16.76160437	23.05209676	9.00631693112506	6.75249563213485
TGM2	-3.866518318	2.13019e-07	1.24677e-09	-16.42562922	22.75577851	8.90421365634002	6.67158165840563
ICAM1	-1.567512447	2.46679e-07	1.51252e-09	-16.15415132	25.10933927	8.82029887397651	6.60786782080744
L1CAM	1.467072648	2.48272e-07	1.59149e-09	16.08333881	31.46484509	8.79819608588901	6.60507225721217
IGSF10	3.727905141	2.58308e-07	1.72781e-09	15.96958062	19.6297463	8.76250401676937	6.58786214317994
COL15A1	-3.246404204	2.99236e-07	2.08498e-09	-15.71226069	20.93202482	8.68089810660451	6.52398615926734
