id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	-log10(pvalue)	-log10(padj)
PLAU	10736.96763	1.613248555	0.03823517	42.19279133	0	0	Inf	Inf
KRT5	1813.063633	3.982325627	0.107952694	36.88954382	6.7984e-298	5.4965e-294	297.167593286255	293.259913767695
TGM2	3148.855135	-2.389307365	0.065169316	-36.66307288	2.8328e-294	1.5269e-290	293.54778408625	289.816189404902
SLC7A8	1511.201503	-2.200538193	0.07354052	-29.92279906	9.9422e-197	4.0191e-193	196.002517504723	192.395871187909
CD74	1669.869123	-2.247895759	0.07684284	-29.25315837	4.0936e-188	1.3239e-184	187.387894596036	183.878144817833
CLDN6	532.4131625	-7.500263324	0.26564981	-28.23364837	2.26e-175	6.0908e-172	174.645891560853	171.215325660936
EPHA3	1107.337923	2.361568929	0.088351285	26.72931049	2.1488e-157	4.9636e-154	156.667804004675	153.30420322411
NID1	1131.717808	-1.989536739	0.078801252	-25.24752709	1.2056e-140	2.4369e-137	139.918796760693	136.613162292046
ZNF703	1790.999335	-2.250625412	0.091315709	-24.64664	3.9984e-134	7.1838e-131	133.398113761218	130.143645767113
PROL1	353.6913335	-5.227737771	0.212633346	-24.5856912	1.797e-133	2.9057e-130	132.745451922891	129.536749226607
COL26A1	2676.169305	-1.217849993	0.053176314	-22.90211371	4.4262e-116	6.5065e-113	115.353968966158	112.186652565878
KCTD12	761.8867299	-2.406297247	0.109562243	-21.96283305	6.5298e-107	8.799e-104	106.185100120444	103.0555666823
KLK5	7494.971024	1.669754733	0.077465747	21.55474892	4.7785e-103	5.9438e-100	102.320708409655	99.2259358123628
INHBB	2191.611206	1.112938396	0.053727332	20.71456646	2.56e-95	2.9568e-92	94.5917600346881	91.52917805046
ITGB3	2403.394861	-1.66825655	0.081141684	-20.5597971	6.28955e-94	6.78013e-91	93.2013804260186	90.1687619790324
LTBP1	1547.16305	-2.405362527	0.11756386	-20.46005058	4.88876e-93	4.9407e-90	92.3108012826859	89.3062115157321
