id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	-log10(pvalue)	-log10(padj)
TMCC3	3404.259807	-2.645763769	0.060850556	-43.47969772	0	0	Inf	Inf
NKAIN1	1050.938413	5.992738682	0.12771793	46.92167092	0	0	Inf	Inf
CDH6	15616.29449	-2.092837031	0.051935481	-40.29686448	0	0	Inf	Inf
FN1	67605.34677	3.14601874	0.053937926	58.32665403	0	0	Inf	Inf
PLAU	10736.96763	2.653316858	0.037853077	70.09514373	0	0	Inf	Inf
SERPINE2	2267.654189	3.718956201	0.090324074	41.1734773	0	0	Inf	Inf
THBS1	8469.542143	4.19713732	0.109539409	38.31623123	0	0	Inf	Inf
LIX1	2763.336003	-2.569358789	0.062937446	-40.8240079	0	0	Inf	Inf
ADAMTS15	2524.747954	-3.074384986	0.061494548	-49.99443166	0	0	Inf	Inf
FBN1	5835.127179	2.753526	0.050765303	54.24031462	0	0	Inf	Inf
NPR1	4378.158567	-2.277927695	0.052457843	-43.42396821	0	0	Inf	Inf
LRRN2	1751.457087	-2.785742019	0.072444326	-38.45355709	0	0	Inf	Inf
PTRF	2960.342379	2.356466411	0.06191783	38.05796184	0	0	Inf	Inf
PLEC	22570.8738	2.531270146	0.062923887	40.22749174	0	0	Inf	Inf
LAMB3	2329.328942	2.677749754	0.062401502	42.91162362	0	0	Inf	Inf
AXL	661.0694577	3.697929642	0.102453469	36.09374762	2.8427e-285	3.1954e-282	284.546268970496	281.495474769143
COL26A1	2676.169305	-1.977153566	0.055610762	-35.55343435	7.353e-277	7.779e-274	276.133535434028	273.109076228511
CLDN1	13662.41926	2.115609175	0.059587319	35.50435224	4.2111e-276	4.2076e-273	275.375604445368	272.375965553562
CLDN6	532.4131625	-5.885564337	0.167585313	-35.11980986	3.3605e-270	3.181e-267	269.473596100263	266.497436330893
S100A16	1760.054169	2.606317592	0.075690335	34.43395512	7.8288e-260	7.0401e-257	259.106304801584	256.152421171946
GUCY1B3	734.6438268	-3.631683475	0.105772875	-34.33473353	2.3802e-258	2.0385e-255	257.623386549142	254.690689284212
CILP	958.6838352	-3.707952681	0.108966819	-34.02827321	8.5086e-254	6.9558e-251	253.070141892594	250.157652913752
