id	WT_Rep1	WT_Rep2	WT_Rep3	KO.CDR1_Rep1	KO.CDR1_Rep2	KO.CDR1_Rep3	KO.CDR2_Rep1	KO.CDR2_Rep2	KO.CDR2_Rep3	KO.CDR2L_Rep1	KO.CDR2L_Rep2	KO.CDR2L_Rep3
MICB	303285.7301	490447.5711	19523.35588	71670.60271	877539.811	967543.5524	35879.09529	383186.0859		37792.65008	39890.52386	31960.97809
PAGE5	67245.40661	79875.13614	23196.12469				5703670.141	4236573.063	3544777.198	277460.7488	285987.7331	218622.9456
BCAS3	29738.96042		35127.30129	1344772.964	336430.5185	326494.8306	336717.5869	865189.4688	972159.3305	472272.2821	1098098.328	1283207.832
QPCT		38162.63643	42082.96608	220206.7917	177538.0995	174499.0218	301715.8854	248313.8672	272796.3737	163799.5993	60701.07773	141284.127
MAPK8IP3	40087.06144	47648.04613	43900.30211	163394.9734	164827.6903	144553.6669	45702.92874		41647.01277	170901.7757	200012.0655	192195.9891
NFKBIE	197325.885	45850.03227	47702.19798	101351.839	33506.20654	202170.4232	48994.28655	214050.5117	185089.2106	791354.7849	258062.4151	444814.4366
TNFAIP3	95670.32669	161088.9354	49761.15195	265919.7321	219261.9495	207248.9019	125730.1855	56929.53906	195923.6003	52906.82076	107777.4843	143694.8272
DYSF	76444.38459	75906.77721	51231.04064	731034.3048	768694.3011	657448.0848	260259.0923	263633.6953	288018.1825	696756.9812	611277.8236	418002.5795
JUNB	133125.4668	171236.3976	51362.36844	262257.2488	242099.8474	216563.6805	303921.951	246940.7969	323041.3245	362247.6328	52080.62449	553025.4205
APBB2	75104.91268	83884.30701	53556.92239				91414.53291	130113.9766		145081.9659	153887.6783	
OPLAH	24773.6554	27058.33819	58479.93837	163617.9839	135644.8723	158024.4657				177126.7142	121279.6303	121136.4687
NSUN6	920562.2774	469573.492	58995.8769	633771.3067	87228.17558	599688.6338	428447.4101	560668.6563	711792.0059	115515.0316	107824.5822	109509.3707
RAB24	523408.6364	426743.8355	60101.61203	479531.0295		640181.03	754014.4202	891193.9844	657158.9377	491827.6338	587228.423	230488.9445
PADI2	101340.5052		63623.53193	62969.95526		53028.43761	42224.93348	51803.66016		2098332.815	2410545.638	2152236.734
HPCAL4	198957.8831	176403.9882	63789.69443	236171.7049	169828.8715	225390.9741	255053.0573	243937.1406	245376.676	361239.762	363507.7234	286107.9373
PITPNM1	108037.9209	47832.59831	72631.34106	207887.4823	151557.6411		103641.406	115150.8672	50171.69134	213915.155	214754.1468	348956.1175
PLEKHN1	91265.03327	133387.3972	73838.2105	164756.3954	175834.508	129440.811	93176.29462	145443.7656	93694.92181	171928.7844	223906.9466	167752.478
CDC42SE2	147069.3569	126238.0394	75408.81868	230481.4995	82536.58815	175613.4353	201129.3339	194549.875	356519.805	298397.0152	176755.6085	202520.4491
CPE	59501.3619	74135.75139	75643.7078	185680.2613	116543.1606	109968.6067				133246.8723		82867.98002
EVI5L	123698.6731	130670.7465	76143.82768	106429.6033	106829.0486	111321.2322	101030.7618	79556.4375	82851.91383	106475.1779	114506.9863	120090.6147
TRIM13	91406.18677	95259.5676	76279.63238	111519.3237	85545.98134	139870.5521	153184.6715	173322.7031	102298.1867	152519.4226	82964.91829	
NEK9	996099.1278	414194.3447	76646.83518	1034386.371	1333205.963	774522.6121	22269.09076	44988.92188	25842.00019	740682.1781	807295.7933	898253.6858
CRTC3	395936.2294	354287.6999	78820.96563	387901.4891	383772.1342	356604.3348	469141.171	83349.10156	83613.31851	339743.1712	371660.8244	556275.0406
TANGO2	64119.61937	82652.70837	79473.53716	68694.57204	66907.58462	47128.6478	140525.862	144982.875	140994.488	157983.4932	129588.7664	161438.3258
