id	WT_Rep1	WT_Rep2	WT_Rep3	KO.CDR1_Rep1	KO.CDR1_Rep2	KO.CDR1_Rep3	KO.CDR2_Rep1	KO.CDR2_Rep2	KO.CDR2_Rep3	KO.CDR2L_Rep1	KO.CDR2L_Rep2	KO.CDR2L_Rep3
PLEC	318175104	417349248	372661152	612871616	641851200	499370816	482417184	293806464	389069152	233081920	238405904	278589696
AHNAK	322938816	360916384	317811968	430987968	421133568	466181920	237142640	115089624	125596952	221853984	221518512	288123840
FAT2	1259785216	1105622656	1139302144	1718494720	1700848256	1853849984	798902720	729673920	684190144	3028995584	2891720448	2778459904
COL12A1	2660925696	2696427264	2218925824	3701065216	3054289664	3541167872	3329669120	3405827072	3264926976	3415892480	4404788736	2589548544
C3	44079222784	36857475072	39071858688	25743669248	26214096896	26346973184	33567606784	39213588480	35265679360	45043347456	41237782528	38257614848
FLNA	2765920512	3043496704	3073597952	2340863232	2659897344	2721309184	2291554816	2407394304	2749872896	2824162816	2928914688	2807800064
FAT1	578537088	508197568	493411936	347986880	356027968	386138848	464380928	390905056	388820736	392189088	377303072	370407168
SPTAN1	172774224	208408576	171254304	282040064	322559584	234061536	224456448	171069920	187686528	183725360	189664048	190911536
FLNB	773112256	849800000	887609536	552111936	637203840	592529024	491584032	511683584	592909312	819967616	814445120	787735808
HSPG2	932429312	918836352	830199104	713818944	782415424	683820800	1172624384	1400188928	1347573888	1242821248	1200223744	1116099200
LAMA1	780063104	759224064	691037824	1564665728	1704980864	1688416384	428506912	387158112	363857920	885374336	908592448	808930304
FN1	17127868416	19615586304	15618640896	3758491904	2562028288	3260316672	43673288704	42966585344	50223099904	7418916352	8512522240	6354994176
LAMA5	2094016640	2039766272	1841739904	2345081856	2786051584	2221783808	2078729728	1650691328	1570525056	2369278720	2113424128	2343319552
MYH9	411655328	513368832	346349536	692830464	654105664	690916480	575689152	243500944	395339488	317240288	325678720	425160192
HUWE1	207898528	249818784	223541808	92328360	99251104	112095664	77726632	86410448	89930632	129478600	142411440	148697936
FASN	219297952	272981600	254829136	149029296	178701024	162261264	99303984	128779784	158285280	146742432	149216944	162902080
MUC16	337285792	299765888	312981504	1207264128	1105482880	1134441344	606047744	688200128	605027840	2629294080	2663002624	2446989824
TNC	2989586688	3080315136	2132974208	7561144832	5076236288	7984531968	2216656384	1514117504	1827749888	1844365824	2924884736	1497286400
DYNC1H1	97754040	126272472	101774928	54360064	55430956	43038388	62001832	65060104	73296816	78802192	88072224	66243864
SPTBN1	190502608	224022928	198013936	203190704	220790864	178408640	151556000	103287336	114805008	144767984	129093768	164119184
LAMA3	1338622208	1277425536	1181541760	364910048	383160896	345954464	1301297408	1224337024	1335480704	517029760	487751296	559676608
TPR	75088400	87128568	73172552	149359456	151007728	153757200	51962228	31374852	39653012	54977160	56624800	69420544
AKAP12	160717056	165825280	157685376	277147776	276423648	323930496	80062792	52327440	80065608	204357568	206823872	220090512
PRKDC	108801552	128028368	125514232	24402054	21139410	26011670	38834280	47001924	49862528	61347448	73584384	68499144
PXDN	787739648	744381888	756680512	756852480	891984448	900577280	1716333056	1698183296	1546164608	1524511488	1776013568	1468370432
PPL	85074864	108933024	88515840	197137984	221930560	189627152	128726376	70631792	91355432	108423744	130938944	120475176
MYH10	30958640	60335308	33148428	85852296	71863992	97483384	83007088	18457776	35168688	27570724	21924874	28865564
KTN1	86033248	94698216	91993088	235014528	252351840	182561104	93204648	57023236	69698184	97134512	93388320	123388880
