id	WT_Rep1	WT_Rep2	WT_Rep3	KO.CDR1_Rep1	KO.CDR1_Rep2	KO.CDR1_Rep3	KO.CDR2_Rep1	KO.CDR2_Rep2	KO.CDR2_Rep3	KO.CDR2L_Rep1	KO.CDR2L_Rep2	KO.CDR2L_Rep3
TSPAN6	6.098830461	5.867034897	5.836153625	5.130149054	5.07444252	5.130592614	5.763175199	5.695669738	5.832041311	4.929012677	5.02041262	5.10519641
DPM1	5.952548385	5.631821728	5.74710967	5.707290582	5.698136816	5.646018331	6.182823282	6.121550909	6.348462616	5.401452558	5.626387633	5.602033796
SCYL3	2.850068078	2.681509097	2.673969765	2.418103564	2.522637882	2.689380984	3.060528467	3.093402115	3.253852215	1.997939792	2.073356991	2.388688938
C1orf112	4.264417516	4.108177436	4.053916211	4.120683265	4.071606762	3.920450888	4.256079564	4.211847777	4.368090217	4.164413011	4.328614034	4.436613508
CFH	0.452331037	0.398946877	0.276157427	0	0.146176169	0	0	0	0.072366545	0	0	0
FUCA2	6.465871528	6.393324562	6.355994856	6.529460962	6.559980206	6.486616821	6.394997514	6.430256999	6.476971593	6.285647157	6.365450202	6.273941841
GCLC	2.373186528	2.002221064	1.33677392	1.816091413	2.33502094	1.998787508	1.709780727	2.258483858	2.296072646	1.636862162	1.36578079	1.898884997
NFYA	5.058573431	4.899607182	4.82122135	5.353694644	5.250010039	5.258159923	4.771054432	4.915372333	4.974049532	5.668702681	5.393714742	5.778068496
STPG1	3.329716495	3.518396175	3.562183813	3.490695864	3.377990027	3.560350321	3.229104606	3.375804299	3.284640546	3.571481307	3.288427384	3.749071838
NIPAL3	4.825296476	4.671003384	4.547302759	5.241338821	5.35901934	5.216472091	4.791310066	4.948812321	4.674693819	4.606516147	4.558726443	4.799646807
LAS1L	6.64555964	6.489583341	6.599572932	5.730530495	5.858149847	5.742349465	6.14293138	5.936611837	6.062770347	6.30829831	6.217884351	6.34192129
ENPP4	3.870962697	3.647033748	3.674860893	3.165125438	3.323787522	3.508650246	3.328990826	3.317647959	3.664128176	3.033211665	2.725770536	3.054588296
SEMA3F	8.050882292	8.12018252	8.109622188	8.281187724	8.264344888	8.361895806	8.428893415	8.390586824	8.359444771	7.258700961	7.226809348	7.15522665
ANKIB1	5.784976513	5.724057756	5.674097481	5.267291088	5.342753925	5.430340771	5.299488673	5.267632108	5.171175413	4.75612231	4.491745285	4.908080825
CYP51A1	5.712440867	5.414902282	5.252075541	4.418068762	4.42457784	4.116967961	4.849814137	4.719740965	4.770328415	4.011498688	3.709936342	4.017883139
KRIT1	4.417359919	4.196479009	4.27321666	3.750060236	3.505895791	4.000151283	4.215760923	3.94956795	4.301888568	3.35637445	3.304165649	3.649515106
RAD52	2.610007831	2.596707491	2.412723803	1.999981893	2.396530093	2.534981125	2.538274202	2.475623743	2.666690709	1.958066333	2.213026258	2.202038569
BAD	5.347133092	5.445642558	5.538030188	5.897942848	5.869745713	5.869441106	5.531511414	5.611058113	5.768958414	5.41090239	5.706846009	5.263137314
