Dataset	Data.type	CellLine	Data.from	When	Experiment	Control.group	Treatment.group	Description	Data.Class	Path	Added.When
U937 gSTK11.UT vs gSTK11.Cytokine	RNAseq (DEG)	U937	Lab	2025-06	STK11 KO RNAseq	gSTK11.UT	gSTK11.Cytokine	-	B	00_Expression_data_all/2025/06.20/DESeq2_U937_gSTK11.UT_vs_gSTK11.Cytokine_gene.tsv	2025-06-20 11:35:56.669986
U937 gNT.UT vs gSTK11.UT	RNAseq (DEG)	U937	Lab	2025-06	STK11 KO RNAseq	gNT.UT	gSTK11.UT	-	B	00_Expression_data_all/2025/06.20/DESeq2_U937_gNT.UT_vs_gSTK11.UT_gene.tsv	2025-06-20 11:35:25.9292
U937 gNT.UT vs gNT.Cytokine	RNAseq (DEG)	U937	Lab	2025-06	STK11 KO RNAseq	gNT.UT	gNT.Cytokine	-	B	00_Expression_data_all/2025/06.20/DESeq2_U937_gNT.UT_vs_gNT.Cytokine_gene.tsv	2025-06-20 11:35:05.437188
U937 gNT.Cytokine vs gSTK11.Cytokine	RNAseq (DEG)	U937	Lab	2025-06	STK11 KO RNAseq	gNT.Cytokine	gSTK11.Cytokine	-	B	00_Expression_data_all/2025/06.20/DESeq2_U937_gNT.Cytokine_vs_gSTK11.Cytokine_gene.tsv	2025-06-20 11:34:37.132568
THP1 gSTK11.UT vs gSTK11.Cytokine	RNAseq (DEG)	THP1	Lab	2025-06	STK11 KO RNAseq	gSTK11.UT	gSTK11.Cytokine	-	B	00_Expression_data_all/2025/06.20/DESeq2_THP1_gSTK11.UT_vs_gSTK11.Cytokine_gene.tsv	2025-06-20 11:34:04.46838
THP1 gNT.UT vs gSTK11.Cytokine	RNAseq (DEG)	THP1	Lab	2025-06	STK11 KO RNAseq	gNT.UT	gSTK11.Cytokine	-	B	00_Expression_data_all/2025/06.20/DESeq2_THP1_gNT.UT_vs_gSTK11.UT_gene.tsv	2025-06-20 11:33:40.424596
THP1 gNT.UT vs gNT.Cytokine	RNAseq (DEG)	THP1	Lab	2025-06	STK11 KO RNAseq	gNT.UT	gNT.Cytokine	-	B	00_Expression_data_all/2025/06.20/DESeq2_THP1_gNT.UT_vs_gNT.Cytokine_gene.tsv	2025-06-20 11:33:05.561477
THP1 gNT.Cytokine vs gSTK11.Cytokine	RNAseq (DEG)	THP1	Lab	2025-06	STK11 KO RNAseq	gNT.Cytokine	gSTK11.Cytokine	-	B	00_Expression_data_all/2025/06.20/DESeq2_THP1_gNT.Cytokine_vs_gSTK11.Cytokine_gene.tsv	2025-06-20 11:32:27.30848
STK11 KO RNAseq (CPM)	RNAseq (Count table)	U937, THP1	Lab	2025-06	STK11 KO RNAseq			RNAseq data of STK11 KO cells, treated with/without cytokines (IFNg+TNFa).	A	00_Expression_data_all/2025/06.20/11.31.07-all_cnt_FeatureCounts_cpm_gene_2.tsv	2025-06-20 11:31:07.968989
THP1_LPS.IFNg.0.5h_Rep2	bigwig	THP1	GSE201351	-	public_ATAC			test	E	00_Expression_data_all/2025/06.10/THP1_LPS.IFNg.0.5h_Rep2.bw	2025-06-10 10:38:50.895309
THP1_LPS.IFNg.0.5h_Rep1	bigwig	THP1	GSE201351	-	public_ATAC			-	E	00_Expression_data_all/2025/06.10/THP1_LPS.IFNg.0.5h_Rep1.bw	2025-06-10 10:37:50.895309
AML (GSE116256)	scRNA	Human AML patients	GSE116256	-	AML scRNA (GSE116256)			test	C	00_Expression_data_all/2025/05.05/Seurat_GSE116256_AML.rds	2025-05-06 10:37:50.895309
Lung scRNA	scRNA	Human Lung cancer patients	GSE148071	-	Lung cancer scRNA (GSE148071)			-	C	00_Expression_data_all/2025/05.05/Seurat_obj_reduced.rds	2025-05-05 10:37:50.895309
U937 CXCL10 LOF screening	CRISPR screening	U937	Lab	NA	CXCL10 LOF screening	CXCL10 Low	CXCL10 High	CRISPR screening data to identify the regulators of CXCL10	B	00_Expression_data_all/2025/03.31/11.13.23-U937_CXCL10_low_vs_high.gene_summary_2.txt	2025-03-31 11:13:23.872386
GSE114725_BRCA	scRNA	Human BRCA patients	GSE114725	-	BRCA scRNA (GSE114725)			-	C	00_Expression_data_all/2025/03.28/Seurat.rds	2025-03-28 10:37:50.895309
THP1 ATACseq IFN-treated Rep2	ATACseq (narrowPeak)	THP1	GSE165426	-	THP1 ATACseq (GSE165426)			ATACseq of IFN-treated THP1 cells	D	00_Expression_data_all/2025/03.25/17.21.06-THP1_IFN_Rep2.narrowPeak	2025-03-25 17:21:06.542375
THP1 ATACseq IFN-treated Rep1	ATACseq (narrowPeak)	THP1	GSE165426	-	THP1 ATACseq (GSE165426)			ATACseq of IFN-treated THP1 cells	D	00_Expression_data_all/2025/03.25/17.08.38-THP1_IFN_Rep1.narrowPeak	2025-03-25 17:08:38.90328
THP1 ATACseq Untreated Rep2	ATACseq (narrowPeak)	THP1	GSE165426	-	THP1 ATACseq (GSE165426)			ATACseq of untreated THP1 cells	D	00_Expression_data_all/2025/03.25/17.07.56-THP1_CT_Rep2.narrowPeak	2025-03-25 17:07:56.177222
THP1 ATACseq Untreated Rep1	ATACseq (narrowPeak)	THP1	GSE165426	-	THP1 ATACseq (GSE165426)			ATACseq of untreated THP1 cells	D	00_Expression_data_all/2025/03.25/17.07.37-THP1_CT_Rep1.narrowPeak	2025-03-25 17:07:37.638558
