id	length
5S_rRNA	126
5_8S_rRNA	153
7SK	331
A1BG	3999
A1BG-AS1	3374
A1CF	9603
A2M	6318
A2M-AS1	2948
A2ML1	7156
A2ML1-AS1	452
A2ML1-AS2	386
A2MP1	4657
A3GALT2	1023
A4GALT	3358
A4GNT	1779
AA06	632
AAAS	4727
AACS	16039
AACSP1	3380
AADAC	1632
AADACL2	5071
AADACL2-AS1	635
AADACL3	4055
AADACL4	2027
AADACP1	2095
AADAT	2970
AAGAB	4138
AAK1	24843
AAMDC	1936
AAMP	3055
AANAT	2156
AAR2	7291
AARD	2404
AARS1	10248
AARS1P1	453
AARS2	5242
AARSD1	3704
AARSD1P1	1182
AASDH	4654
AASDHPPT	6003
AASS	10816
AATBC	4874
AATF	12155
AATK	13177
ABALON	1903
ABAT	9713
ABCA1	11343
ABCA10	8405
ABCA11P	2790
ABCA12	9614
ABCA13	19075
ABCA17P	6574
ABCA2	11500
ABCA3	7804
ABCA3P1	666
ABCA4	8547
ABCA5	13158
ABCA6	14158
ABCA7	9591
ABCA8	11246
ABCA9	9024
ABCA9-AS1	2990
ABCB1	6422
ABCB10	4268
ABCB10P1	2181
ABCB10P3	2166
ABCB10P4	2184
ABCB11	7715
ABCB4	7728
ABCB5	8796
ABCB6	5205
ABCB7	5364
ABCB8	9336
ABCB9	13282
ABCC1	8736
ABCC10	8087
ABCC11	8469
ABCC12	9897
ABCC13	10933
ABCC2	7837
ABCC3	9615
ABCC4	8629
ABCC5	11365
ABCC5-AS1	469
ABCC6	6908
ABCC6P1	3448
ABCC6P2	1077
ABCC8	27254
ABCC9	17483
ABCD1	4238
ABCD1P2	1601
ABCD1P3	605
ABCD1P4	604
ABCD1P5	754
ABCD2	6290
ABCD3	7655
ABCD4	8922
ABCE1	6254
ABCF1	4496
ABCF2	5158
ABCF2-H2BK1	2185
ABCF2P1	1867
ABCF2P2	296
ABCF3	5135
ABCG1	6121
ABCG2	5602
ABCG4	6231
ABCG5	3720
ABCG8	10179
ABHD1	4630
ABHD10	3026
ABHD11	2274
ABHD11-AS1	757
ABHD12	4479
ABHD12B	4551
ABHD13	5313
ABHD14A	2313
ABHD14A-ACY1	4761
ABHD14B	3161
ABHD15	3492
ABHD15-AS1	187
ABHD16A	4059
ABHD16B	1491
ABHD17A	6163
ABHD17AP1	933
ABHD17AP3	1137
ABHD17AP4	909
ABHD17AP5	923
ABHD17AP6	1044
ABHD17AP7	595
ABHD17AP8	574
ABHD17AP9	548
ABHD17B	3221
ABHD17C	3620
ABHD18	6733
ABHD2	10068
ABHD3	4337
ABHD4	3765
ABHD5	7539
ABHD6	3563
ABHD8	2162
ABI1	4218
ABI1P1	1120
ABI2	23275
ABI3	2272
ABI3BP	10978
ABITRAM	2525
ABITRAMP1	541
ABL1	7018
ABL2	16689
ABLIM1	10209
ABLIM2	6166
ABLIM3	7225
ABO	7353
ABR	12532
ABR-AS1	235
ABRA	2754
ABRACL	1137
ABRAXAS1	7699
ABRAXAS2	2955
ABT1	2943
ABT1P1	821
ABTB1	6155
ABTB2	4976
ACAA1	7106
ACAA2	4920
ACAA2P1	1327
ACACA	13022
ACACB	14513
ACAD10	8934
ACAD11	5033
ACAD8	7121
ACAD9	11841
ACAD9-DT	3591
ACADL	5152
ACADM	13774
ACADS	2609
ACADSB	6234
ACADVL	4820
ACAN	10914
ACAP1	7420
ACAP2	11066
ACAP2-IT1	690
ACAP3	8707
ACAT1	5869
ACAT2	2639
ACBD3	3589
ACBD3-AS1	535
ACBD4	3776
ACBD5	11794
ACBD6	7512
ACBD7	3546
ACCS	5841
ACCSL	1867
ACD	3218
ACE	8365
ACE2	9739
ACE3P	1973
ACER1	1428
ACER2	2773
ACER2P1	823
ACER3	23102
ACHE	4074
ACIN1	9110
ACKR1	2106
ACKR2	5460
ACKR3	2070
ACKR4	2669
ACKR4P1	1053
ACLY	5208
ACMSD	2716
ACNATP	1225
ACO1	7555
ACO2	11812
ACOD1	2159
ACOT1	1686
ACOT11	9770
ACOT12	2453
ACOT13	4394
ACOT2	2239
ACOT4	1465
ACOT6	1699
ACOT7	3500
ACOT8	4354
ACOT9	6244
ACOX1	8286
ACOX2	3823
ACOX3	3846
ACOXL	8169
ACOXL-AS1	5839
ACP1	4160
ACP2	3484
ACP3	4280
ACP4	1342
ACP5	4351
ACP6	11993
ACP7	3044
ACR	2064
ACRBP	2816
ACRP1	698
ACRV1	1963
ACSBG1	8148
ACSBG2	3447
ACSF2	5797
ACSF3	14575
ACSL1	6134
ACSL3	14436
ACSL3-AS1	537
ACSL4	9971
ACSL5	4137
ACSL6	16996
ACSL6-AS1	923
ACSM1	2873
ACSM2A	8195
ACSM2B	8158
ACSM3	7510
ACSM4	2684
ACSM5	3963
ACSM5P1	2438
ACSM6	2808
ACSS1	8691
ACSS2	5248
ACSS3	18465
ACTA1	2381
ACTA2	2976
ACTA2-AS1	3183
ACTB	4405
ACTBL2	2794
ACTBP1	1113
ACTBP11	1126
ACTBP12	418
ACTBP14	1089
ACTBP15	1060
ACTBP2	1123
ACTBP4	1070
ACTBP6	1090
ACTBP7	1124
ACTBP8	1108
ACTBP9	1099
ACTC1	2290
ACTE1P	3496
ACTG1	4052
ACTG1P1	1129
ACTG1P10	1082
ACTG1P11	1125
ACTG1P12	1166
ACTG1P13	1043
ACTG1P14	1122
ACTG1P15	1063
ACTG1P16	1082
ACTG1P17	2096
ACTG1P18	1143
ACTG1P19	1116
ACTG1P2	1125
ACTG1P20	468
ACTG1P21	1000
ACTG1P22	2864
ACTG1P23	1074
ACTG1P24	877
ACTG1P25	2321
ACTG1P3	1114
ACTG1P4	1122
ACTG1P9	2658
ACTG2	3811
ACTL10	1583
ACTL11P	3959
ACTL6A	3668
ACTL6B	2376
ACTL7A	1491
ACTL7B	1399
ACTL8	1844
ACTL9	1396
ACTN1	14320
ACTN1-DT	936
ACTN2	17976
ACTN3	3460
ACTN4	6125
ACTN4P1	1451
ACTN4P2	1892
ACTP1	383
ACTR10	4039
ACTR1A	4655
ACTR1AP1	1126
ACTR1B	2853
ACTR2	4041
ACTR3	11946
ACTR3-AS1	1581
ACTR3B	6024
ACTR3BP1	1247
ACTR3BP2	1373
ACTR3BP3	979
ACTR3BP4	1244
ACTR3BP5	1479
ACTR3BP6	1338
ACTR3BP7	1241
ACTR3C	6460
ACTR3P2	1257
ACTR3P3	893
ACTR5	2547
ACTR6	3813
ACTR6P1	1104
ACTR8	4016
ACTRT1	1442
ACTRT1P1	1123
ACTRT2	1437
ACTRT3	1671
ACVR1	9842
ACVR1B	5658
ACVR1C	9054
ACVR2A	6448
ACVR2B	15705
ACVR2B-AS1	2517
ACVRL1	4961
ACY1	4727
ACY3	1371
ACYP1	1803
ACYP2	4964
ADA	12177
ADA2	11032
ADAD1	2699
ADAD1P2	646
ADAD2	4111
ADAL	5734
ADAM10	15979
ADAM11	4813
ADAM12	9882
ADAM15	6584
ADAM17	15964
ADAM18	3826
ADAM19	7704
ADAM1A	2129
ADAM1B	2000
ADAM2	2843
ADAM20	2795
ADAM20P1	3733
ADAM20P2	1273
ADAM20P3	2106
ADAM21	3251
ADAM21P1	2311
ADAM22	13668
ADAM23	6425
ADAM24P	2101
ADAM28	9381
ADAM29	5957
ADAM30	2983
ADAM32	10050
ADAM33	5386
ADAM3A	2999
ADAM3B	840
ADAM5	2852
ADAM6	2015
